Number,Department,CountryFull,City,City_code,StreetAddress,StateFull,State,Country,ZipCode,UPS,TelephoneNumber
D3AUS0,Department 2187,United States,Atlanta,CA07,2187 Adonais Way,Georgia,GA,US,30310,1Z 68W 4Y9 18 4928 440 0,678-449-0434
D9RUS5,Department 993,United States,Rancho California,CR017,993 Denver Avenue,California,CA,US,92390,1Z 312 174 82 6337 393 5,951-308-4459
DNSGB6,Department 16,United Kingdom,SIDESTRAND,CSL10,16 Stroude Road,,,GB,NR27 0SL,1Z 1F5 453 34 1235 133 6,070 6125 2730
DSFGB0,Department 69,United Kingdom,FFARMERS,CFN8,69 Rhosddu Rd,,,GB,SA19 5UN,1Z 306 858 66 4257 886 0,077 2653 0564
D3MAU9,Department 99,Australia,MORANG SOUTH,CM212,99 Villeneuve Street,Victoria,VIC,AU,3752,1Z 482 954 53 7614 697 9,(03) 9713 5528
D4TAT1,Department Mollardgasse,Austria,TAMBERGAU,CT49,Mollardgasse 99,Upper Austria,OO,AT,4574,1Z E48 999 91 4175 893 1,0688 976 59 01
DLLGB2,Department 9,United Kingdom,LLANGWYLLOG,CLB11,9 Constitution St,,,GB,LL77 0GB,1Z 938 070 72 0423 154 2,077 5143 6208
D3FAT2,Department Aufeld,Austria,FRITZBERG,CF09,Aufeld 58,Lower Austria,NO,AT,3240,1Z 371 569 90 0077 857 2,0681 681 04 42
D5HAU8,Department 71,Australia,HOPE GAP,CH58,71 Sinclair Street,South Australia,SA,AU,5555,1Z 52V 741 81 9541 605 8,(08) 8336 3161
D3RAT4,Department Ernstbrunner,Austria,REINÖD,CR26,Ernstbrunner Strasse 97,Lower Austria,NO,AT,3242,1Z 9A3 841 49 2039 745 4,0650 942 33 50
DTEGB7,Department 77,United Kingdom,EDGCUMBE,CEB8,77 Park Row,,,GB,TR10 0RB,1Z 523 170 34 1276 594 7,070 0142 1825
DHSCA6,Department 4767,Canada,St Laurent,CS310,4767 Pitfield Blvd,Quebec,QC,CA,H4S 1H3,1Z Y18 070 85 4271 969 6,514-817-2675
DSFCA0,Department 2708,Canada,Foam Lake,CF29,2708 Terry Fox Dr,Saskatchewan,SK,CA,S4P 3Y2,1Z 177 6W3 08 3675 257 0,306-272-9058
D2MAU5,Department 6,Australia,METFORD DC,CM310,6 Gaggin Street,New South Wales,NSW,AU,2323,1Z Y90 300 07 7067 379 5,(02) 4930 4377
D9EUS7,Department 1565,United States,Everett,CE87,1565 Hershell Hollow Road,Washington,WA,US,98208,1Z 123 5V4 88 0209 836 7,425-263-2932
DSMCA4,Department 1623,Canada,Meadow Lake,CM011,1623 Main St,Saskatchewan,SK,CA,S0M 1V0,1Z 033 A46 50 1151 658 4,306-234-9360
D6KAU6,Department 61,Australia,KRONKUP,CK07,61 Baker Street,Western Australia,WA,AU,6330,1Z 488 9Y3 60 8980 487 6,(08) 9019 3115
D4MAU5,Department 93,Australia,MOLENDINAR,CM410,93 Ross Street,Queensland,QLD,AU,4214,1Z F51 98W 50 3560 687 5,(07) 5678 1530
D4IAT9,Department Bonygasse,Austria,INNERLEITEN,CI311,Bonygasse 99,Upper Austria,OO,AT,4873,1Z Y78 644 32 7006 069 9,0664 387 87 28
D2BAU9,Department 54,Australia,BALLYROE,CB58,54 Plantation Place,New South Wales,NSW,AU,2795,1Z 382 6V9 08 2672 593 9,(02) 4052 5306
D8AUS9,Department 3503,United States,Albuquerque,CA611,3503 Chapmans Lane,New Mexico,NM,US,87106,1Z 927 497 16 6150 082 9,505-891-1193
D3SAU9,Department 28,Australia,SUTHERLAND,CS810,28 Taltarni Road,Victoria,VIC,AU,3478,1Z 578 567 92 8458 017 9,(03) 5318 7288
DLTGB1,Department 22,United Kingdom,TUR LANGTON,CTU11,22 Castledore Road,,,GB,LE8 1FU,1Z 671 435 18 7839 356 1,078 1752 8964
DPCGB9,Department 46,United Kingdom,CROFT,CCA5,46 Carriers Road,,,GB,PE24 4UA,1Z 3A2 145 66 0695 948 9,077 2873 2745
DVNCA8,Department 4690,Canada,New Westminster,CN115,4690 Sixth Street,British Columbia,BC,CA,V3L 3C1,1Z 821 907 65 7921 428 8,604-878-7656
D2BAU3,Department 98,Australia,BOSTOBRICK,CB310,98 Cofton Close,New South Wales,NSW,AU,2453,1Z 175 571 10 6197 231 3,(02) 6729 6465
DTRCA4,Department 3577,Canada,Red Deer,CR68,3577 Galts Ave,Alberta,AB,CA,T4N 2A6,1Z 935 V20 63 7489 587 4,403-304-2375
D3HAU2,Department 91,Australia,HALLS GAP,CH19,91 Swanston Street,Victoria,VIC,AU,3381,1Z A80 930 04 2917 695 2,(03) 5308 4764
D4BAU5,Department 36,Australia,BUNGIL,CB56,36 Cunningham Street,Queensland,QLD,AU,4455,1Z E35 W77 59 7662 577 5,(07) 4577 5109
DVOCA4,Department 4527,Canada,Oliver,CO06,4527 Haaglund Rd,British Columbia,BC,CA,V0H 1T0,1Z V59 268 89 2250 504 4,250-498-4656
DPUGB1,Department 9,United Kingdom,UPWELL,CUG6,9 Canterbury Road,,,GB,PE14 8GG,1Z 660 V51 34 4718 094 1,079 6525 5713
DDGGB2,Department 63,United Kingdom,GLENMOY,CGN7,63 Brynglas Road,,,GB,DD8 7XN,1Z 737 Y81 63 3327 097 2,070 5217 6922
D3PAU4,Department 15,Australia,PHEASANT CREEK,CP714,15 Bayley Street,Victoria,VIC,AU,3757,1Z 954 841 92 9881 839 4,(03) 8654 8501
D2SAU7,Department 55,Australia,SIX MILE FLAT,CS013,55 Adavale Road,New South Wales,NSW,AU,2580,1Z 587 E69 21 4234 969 7,(02) 6163 8292
DHLGB0,Department 27,United Kingdom,LONGTOWN,CLD8,27 Great Western Road,,,GB,HR2 6ZD,1Z 084 Y16 00 5877 786 0,070 6423 2145
D6GAT4,Department Sternhofweg,Austria,GOING AM WILDEN KAISER,CG322,Sternhofweg 39,Tyrol,TR,AT,6353,1Z 207 227 20 1121 571 4,0688 825 19 00
DNLGB1,Department 49,United Kingdom,LONDON,CLH6,49 Guild Street,,,GB,NW1 4SH,1Z 692 952 81 2241 507 1,077 0913 9514
DVCCA8,Department 3830,Canada,Coquitlam,CC19,3830 Glover Road,British Columbia,BC,CA,V3J 4S1,1Z 994 440 79 0354 919 8,604-931-4129
DTECA8,Department 156,Canada,Edmonton,CE48,156 184th Street,Alberta,AB,CA,T5J 2R4,1Z 302 337 42 6708 491 8,780-913-9236
DTECA3,Department 4980,Canada,Edmonton,CE78,4980 A Avenue,Alberta,AB,CA,T5J 0K7,1Z 818 433 19 1094 570 3,780-420-2666
D2UAU8,Department 60,Australia,UPPER ORARA,CU011,60 Glenpark Road,New South Wales,NSW,AU,2450,1Z A22 585 54 0502 308 8,(02) 6783 1070
D4PAT0,Department Hauptstrasse,Austria,PÜHRET,CP36,Hauptstrasse 90,Lower Austria,NO,AT,4143,1Z 291 A95 08 4178 933 0,0699 380 19 49
DASGB5,Department 88,United Kingdom,STEINMANHILL,CSU12,88 Netherpark Crescent,,,GB,AB53 4DU,1Z 924 00F 94 4417 216 5,077 2686 4948
DKOCA3,Department 994,Canada,Ottawa,CO76,994 MacLaren Street,Ontario,ON,CA,K1P 5M7,1Z 039 944 87 2149 400 3,613-368-2200
D3BAU2,Department 93,Australia,BELLBRAE,CB88,93 Shell Road,Victoria,VIC,AU,3228,1Z 147 8V1 53 2900 531 2,(03) 5333 6304
D7GUS7,Department 4248,United States,Gould,CG45,4248 Simpson Square,Oklahoma,OK,US,73544,1Z 197 29A 42 6003 224 7,580-676-5483
DACCA9,Department 3822,Canada,Change Islands,CC614,3822 Glencoe Drive,Newfoundland and Labrador,NL,CA,A1C 5H6,1Z 337 995 14 3023 709 9,709-621-9274
D3LAU4,Department 46,Australia,LEARMONTH,CL29,46 Edmundsons Road,Victoria,VIC,AU,3352,1Z 563 004 65 2013 291 4,(03) 5379 5775
D2SAT4,Department Wiehtestrasse,Austria,SIEDING,CS07,Wiehtestrasse 77,Lower Austria,NO,AT,2630,1Z 171 456 77 4394 032 4,0680 757 75 89
D3HAU5,Department 94,Australia,HEPBURN,CH17,94 Cherokee Road,Victoria,VIC,AU,3461,1Z 171 206 01 4481 386 5,(03) 5334 9849
DVKCA8,Department 3793,Canada,Kelowna,CK27,3793 Hardy Street,British Columbia,BC,CA,V1Y 8H2,1Z 957 2A8 33 5778 798 8,250-979-4284
D5HAU4,Department 78,Australia,HALLETT COVE,CH812,78 Henley Beach Road,South Australia,SA,AU,5158,1Z 750 059 84 4066 439 4,(08) 8219 8524
DTHGB9,Department 52,United Kingdom,HAM,CHZ3,52 Bury Rd,,,GB,TW10 1NZ,1Z A88 F11 62 2348 040 9,079 8455 9960
DIMGB2,Department 25,United Kingdom,MUGEARY,CMT7,25 Ilchester Road,,,GB,IV51 2TT,1Z 021 745 19 9154 839 2,079 5006 2322
DSBCA7,Department 393,Canada,Buffalo Narrows,CB215,393 St. John Street,Saskatchewan,SK,CA,S4P 3Y2,1Z 903 069 01 2362 717 7,306-235-0368
DNNGB8,Department 61,United Kingdom,NEWARK-ON-TRENT,CNW15,61 Lairg Road,,,GB,NG24 5UW,1Z A28 756 36 1636 692 8,077 0865 2544
D4HAU8,Department 74,Australia,HAY POINT,CH09,74 Hay Point Road,Queensland,QLD,AU,4740,1Z 941 W58 75 4197 992 8,(07) 4963 2476
D7LUS4,Department 4721,United States,Lafayette,CL39,4721 Bridge Avenue,Louisiana,LA,US,70503,1Z 898 551 05 3644 845 4,337-735-3406
DSSGB2,Department 36,United Kingdom,SARNAU,CSP6,36 Vicar Lane,,,GB,SY22 3BP,1Z 83Y 8W6 96 7822 186 2,077 0534 6935
D3SAT2,Department Wurmbrandgasse,Austria,SIEBENHIRTEN,CS112,Wurmbrandgasse 90,Lower Austria,NO,AT,3071,1Z 8V1 149 04 8104 991 2,0680 163 76 18
DTACA7,Department 357,Canada,Alberta Beach,CA013,357 Park Ct,Alberta,AB,CA,T0E 0A0,1Z 184 63V 68 1080 076 7,780-924-4955
D4GAU1,Department 62,Australia,GREENVIEW,CG69,62 Raglan Street,Queensland,QLD,AU,4606,1Z 827 41F 64 4709 488 1,(07) 4553 0152
DDNGB0,Department 38,United Kingdom,NETHERWOOD,CNG10,38 North Road,,,GB,DG1 1GG,1Z V24 219 39 2016 624 0,079 6915 5359
DHMCA9,Department 657,Canada,Montreal,CM58,657 Papineau Avenue,Quebec,QC,CA,H2K 4J5,1Z 008 40W 76 9027 388 9,514-758-7510
D3GAT7,Department Kalhamer,Austria,GANZ,CG14,Kalhamer Strasse 60,Lower Austria,NO,AT,3281,1Z 399 240 24 9707 656 7,0650 977 58 44
D9HAT9,Department Grazer,Austria,HART,CH64,Grazer Strasse 52,Carinthia,KA,AT,9556,1Z 226 778 15 8128 337 9,0676 890 57 07
D6WUS4,Department 4617,United States,Wichita,CW47,4617 Williams Lane,Kansas,KS,US,67214,1Z A45 811 36 7593 662 4,316-518-4026
D2LAU4,Department 26,Australia,LONGARM,CL77,26 Yangan Drive,New South Wales,NSW,AU,2347,1Z 040 Y01 51 0022 366 4,(02) 6773 4711
D1NUS2,Department 3123,United States,New York,CN78,3123 Small Street,New York,NY,US,10007,1Z 72W 443 53 7133 002 2,212-815-6763
D5EAU7,Department 89,Australia,EAST MOONTA,CE811,89 Sinclair Street,South Australia,SA,AU,5558,1Z 833 709 48 3342 541 7,(08) 8366 7140
DHHGB7,Department 68,United Kingdom,HALIFAX,CHA7,68 Fordham Rd,,,GB,HX1 0UA,1Z 950 4W4 41 5161 524 7,078 2520 5007
D3FAT9,Department Waldstrasse,Austria,FELBERACH,CF19,Waldstrasse 50,Lower Austria,NO,AT,3261,1Z 234 608 76 4360 729 9,0688 242 20 40
D7LUS2,Department 388,United States,Levelland,CL69,388 Smithfield Avenue,Texas,TX,US,79336,1Z 475 25W 39 3199 097 2,806-716-7271
D7DUS0,Department 2635,United States,Dallas,CD76,2635 Jones Street,Texas,TX,US,75207,1Z 205 24A 85 6968 945 0,817-506-0212
DITGB2,Department 82,United Kingdom,THE LHEN,CTS8,82 Lamphey Road,,,GB,IM7 3ES,1Z 759 370 88 8272 112 2,077 8414 1664
D3MAT5,Department Haid,Austria,MEINHARTSCHLAG,CM114,Haid 99,Lower Austria,NO,AT,3931,1Z Y71 801 75 1578 525 5,0680 403 12 89
D2MAU9,Department 58,Australia,MOUNT FOSTER,CM412,58 Arthur Street,New South Wales,NSW,AU,2824,1Z 350 568 87 4657 691 9,(02) 4025 2664
DNHCA0,Department 2088,Canada,Hespeler,CH38,2088 Queens Sq,Ontario,ON,CA,N3C 1H3,1Z 4Y6 840 97 6012 445 0,519-240-2196
D4GAU9,Department 81,Australia,GLEN APLIN,CG110,81 Punchs Creek Road,Queensland,QLD,AU,4381,1Z 318 189 48 2398 908 9,(07) 4575 3945
D2HUS0,Department 3646,United States,Hollywood,CH69,3646 Roane Avenue,Maryland,MD,US,20636,1Z Y44 405 71 7593 652 0,301-247-7879
D3LAU5,Department 9,Australia,LINDENOW SOUTH,CL514,9 Romawi Road,Victoria,VIC,AU,3875,1Z 414 867 45 6584 490 5,(03) 5378 2499
D4WAU0,Department 41,Australia,WALLAVILLE,CW110,41 Delan Road,Queensland,QLD,AU,4671,1Z 393 614 44 4999 856 0,(07) 3355 5895
DMTCA1,Department 147,Canada,Toronto,CT87,147 Dundas St,Ontario,ON,CA,M2N 2G8,1Z 230 849 19 5655 079 1,416-221-2092
D2BAU8,Department 31,Australia,BRANXTON,CB58,31 Woerdens Road,New South Wales,NSW,AU,2335,1Z 980 598 21 2216 053 8,(02) 4960 2727
D2CAU7,Department 31,Australia,CARROLLS CREEK,CC214,31 Rimbanda Road,New South Wales,NSW,AU,2372,1Z 362 631 57 8333 499 7,(02) 6784 7162
DVNCA5,Department 2927,Canada,New Westminster,CN115,2927 Sixth Street,British Columbia,BC,CA,V3L 3C1,1Z 453 599 28 0492 579 5,604-522-8622
DGBGB1,Department 75,United Kingdom,BISLEY,CBF6,75 Boroughbridge Road,,,GB,GU24 9BF,1Z 17V 183 63 7044 768 1,070 4282 8321
DMTCA6,Department 4964,Canada,Toronto,CT77,4964 Victoria Park Ave,Ontario,ON,CA,M2J 3T7,1Z 768 700 46 7788 661 6,416-494-4647
DWLGB1,Department 38,United Kingdom,LONDON,CLA6,38 Crown Street,,,GB,WC1V 8DA,1Z 145 723 56 1565 911 1,077 1706 4862
D5AAU0,Department 4,Australia,ANGAS PLAINS,CA512,4 Hereford Avenue,South Australia,SA,AU,5255,1Z 529 198 14 8422 690 0,(08) 8249 6474
DGSCA5,Department 4994,Canada,St Luc,CS06,4994 St Jean Baptiste St,Quebec,QC,CA,G0S 1L0,1Z 1Y0 E21 92 5222 843 5,418-636-0033
DTCGB1,Department 68,United Kingdom,CROWAN,CCR6,68 Sloe Lane,,,GB,TR14 3HR,1Z 9Y3 1V4 33 1430 388 1,077 2767 3486
D4HAT3,Department Lendplatz,Austria,HAUSRUCK,CH68,Lendplatz 16,Upper Austria,OO,AT,4906,1Z A03 024 47 3868 367 3,0676 345 59 60
DPGCA6,Department 582,Canada,Goulais,CG07,582 Nelson Street,Ontario,ON,CA,P0S 1E0,1Z 64F 446 43 1277 158 6,705-649-4041
D2FUS4,Department 4779,United States,Fork,CF14,4779 Cambridge Place,Maryland,MD,US,21051,1Z 99W 303 04 7010 144 4,410-592-6298
D3RAT0,Department Thayapark,Austria,ROSENTHAL,CR19,Thayapark 62,Lower Austria,NO,AT,3121,1Z 884 390 99 3835 975 0,0699 128 44 36
DMTCA6,Department 7,Canada,Toronto,CT47,7 Sheppard Ave,Ontario,ON,CA,M1S 1T4,1Z 840 118 09 6540 814 6,416-683-4771
D4MUS4,Department 4687,United States,Midland,CM07,4687 Juniper Drive,Michigan,MI,US,48640,1Z 508 979 81 9195 956 4,989-839-8948
D6SUS1,Department 2340,United States,Saint Louis,CS611,2340 Irving Place,Missouri,MO,US,63146,1Z 221 919 56 6461 183 1,636-259-4886
DTECA3,Department 286,Canada,Edmonton,CE48,286 184th Street,Alberta,AB,CA,T5J 2R4,1Z A58 189 81 0161 785 3,780-450-8199
D8MAT6,Department Schützengartenstrasse,Austria,MAIERHOFEN,CM310,Schützengartenstrasse 89,Styria,ST,AT,8263,1Z 4V2 E83 93 5342 703 6,0680 516 92 16
D4GAT8,Department Enzersdorfer,Austria,GESSLINGEN,CG010,Enzersdorfer Strasse 10,Upper Austria,OO,AT,4890,1Z 719 467 08 8606 860 8,0660 229 18 23
DISGB0,Department 51,United Kingdom,SICKLESMERE,CSZ11,51 Felix Lane,,,GB,IP30 2RZ,1Z 7V4 617 56 1325 968 0,078 4845 6676
DNMGB8,Department 75,United Kingdom,MANTHORPE,CMR9,75 East Street,,,GB,NG31 3HR,1Z 96Y 545 41 7792 485 8,078 0360 0282
DVKCA1,Department 4196,Canada,Kelowna,CK57,4196 102nd Avenue,British Columbia,BC,CA,V1Y 1P5,1Z 530 3W6 50 1305 702 1,250-864-1452
DTGCA6,Department 171,Canada,Grande Prairie,CG114,171 99th St,Alberta,AB,CA,T8V 0S1,1Z E53 F60 66 8007 772 6,780-539-1653
DSNGB6,Department 62,United Kingdom,NORBURY,CNP7,62 Cambridge Road,,,GB,SY9 6JP,1Z V46 Y58 86 5303 128 6,078 8275 3614
DNLGB1,Department 22,United Kingdom,LLANGATTOCK LINGOED,CLT19,22 Malcolm Rd,,,GB,NP7 6ZT,1Z 3E7 E32 99 0255 651 1,078 5485 5319
D5YAU2,Department 54,Australia,YILKI,CY15,54 Halsey Road,South Australia,SA,AU,5211,1Z 488 811 26 4082 045 2,(08) 8284 6088
DPGGB7,Department 91,United Kingdom,GURNARD,CGA7,91 Moulton Road,,,GB,PO31 9LA,1Z 079 69V 17 1409 184 7,079 5194 7276
D6EAU1,Department 57,Australia,EASTBROOK,CE09,57 Bellion Drive,Western Australia,WA,AU,6260,1Z 3A4 486 00 2134 509 1,(08) 9041 4086
D2TAU4,Department 53,Australia,TARRAGANDA,CT010,53 Black Range Road,New South Wales,NSW,AU,2550,1Z 087 94W 67 3624 440 4,(02) 4071 1623
DTPGB0,Department 63,United Kingdom,PORTHCURNO,CPR10,63 Scarcroft Road,,,GB,TR19 2XR,1Z 370 85V 51 1378 149 0,079 1953 2354
DTMCA6,Department 3373,Canada,Morinville,CM010,3373 Venture Place,Alberta,AB,CA,T0G 1P0,1Z 256 072 96 2309 881 6,780-939-3218
D6KAU3,Department 79,Australia,KANGAROO GULLY,CK514,79 Healy Road,Western Australia,WA,AU,6255,1Z 132 347 55 1103 076 3,(08) 9071 4803
D3FUS8,Department 2151,United States,Fort Lauderdale,CF115,2151 Holt Street,Florida,FL,US,33301,1Z 459 A93 48 4137 795 8,561-348-1411
DZNGB3,Department 69,United Kingdom,NORTH ROE,CNF9,69 Southern Way,,,GB,ZE2 3NF,1Z 723 489 19 3750 465 3,070 7584 4967
D8TUS0,Department 2931,United States,Tucson,CT66,2931 Polk Street,Arizona,AZ,US,85716,1Z 190 371 81 1072 734 0,520-934-3624
DTSGB6,Department 24,United Kingdom,STOKESLEY,CSW9,24 Broomfield Place,,,GB,TS9 4UW,1Z 167 161 23 7008 428 6,079 8486 6302
D4MAT0,Department Langenloiser,Austria,MÖNCHDORF,CM19,Langenloiser Strasse 99,Lower Austria,NO,AT,4281,1Z 3Y7 V70 00 4371 698 0,0650 224 16 54
D4IAU3,Department 27,Australia,ILLINBAH,CI58,27 Treasure Island Avenue,Queensland,QLD,AU,4275,1Z 29W 915 04 5016 944 3,(07) 5657 5060
D4BAU4,Department 38,Australia,BURNCLUITH,CB310,38 Lowe Street,Queensland,QLD,AU,4413,1Z 58W 828 18 2436 397 4,(07) 4522 1235
DCPGB6,Department 72,United Kingdom,PENYFFORDD,CPX10,72 Wenlock Terrace,,,GB,CH4 6JX,1Z 275 744 78 1296 132 6,070 4476 4972
D7NUS5,Department 1132,United States,Newark,CN26,1132 Deer Ridge Drive,New Jersey,NJ,US,7102,1Z 766 62A 11 6392 296 5,973-645-5070
D2GAU3,Department 60,Australia,GALAMBINE,CG09,60 Amiens Road,New South Wales,NSW,AU,2850,1Z W51 740 82 4951 772 3,(02) 4002 4708
DVNCA3,Department 3729,Canada,North Vancouver,CN115,3729 Keith Road,British Columbia,BC,CA,V5T 2C1,1Z W51 659 65 5911 624 3,604-987-3240
D4WAT0,Department Floridusgasse,Austria,WICKENDORF,CW310,Floridusgasse 5,Upper Austria,OO,AT,4493,1Z F58 055 75 3553 432 0,0650 298 65 22
D2NAU5,Department 76,Australia,NIAGARA PARK,CN012,76 Wharf St,New South Wales,NSW,AU,2250,1Z 908 306 01 0840 453 5,(02) 9110 2431
D4LUS3,Department 4354,United States,Lexington,CL79,4354 Straford Park,Kentucky,KY,US,40507,1Z 753 3W8 04 2732 452 3,606-617-9384
DLMGB2,Department 53,United Kingdom,MILLHOLME,CMH9,53 Long Street,,,GB,LA8 1DH,1Z 847 998 93 4057 036 2,070 2124 7806
DCVCA8,Department 4865,Canada,Victoria,CV08,4865 Russell Street,Prince Edward Island,PE,CA,C0A 2G0,1Z 177 699 19 4261 299 8,902-856-7605
D2VUS1,Department 3902,United States,Virginia Beach,CV414,3902 Murry Street,Virginia,VA,US,23464,1Z 500 37V 74 9414 660 1,757-474-5927
DRHGB4,Department 17,United Kingdom,HAROLD WOOD,CHW11,17 Balsham Road,,,GB,RM3 7DW,1Z 374 83W 85 8345 772 4,079 3755 5415
D2RAT7,Department Eybnerstrasse,Austria,RAGELSDORF,CR310,Eybnerstrasse 53,Lower Austria,NO,AT,2053,1Z 005 76F 13 8917 353 7,0676 499 61 65
DBCGB8,Department 10,United Kingdom,CROSS,CCB5,10 Kent Street,,,GB,BS26 2XB,1Z 6A9 6E6 61 7124 878 8,070 0471 1351
DSRGB0,Department 41,United Kingdom,ROBESTON WATHEN,CRN15,41 Princes Street,,,GB,SA67 8SN,1Z 133 645 90 2615 374 0,077 1308 9350
D8SAT7,Department Kuefsteinstrasse,Austria,SANKT MARGARETHEN AN DER RAAB,CS229,Kuefsteinstrasse 45,Styria,ST,AT,8322,1Z 878 V37 65 4500 802 7,0660 185 81 94
D8MAT4,Department Galgenau,Austria,MÜRZHOFEN,CM49,Galgenau 40,Styria,ST,AT,8644,1Z 644 765 16 2766 285 4,0680 747 05 56
DNWCA1,Department 4846,Canada,Windsor,CW97,4846 Goyeau Ave,Ontario,ON,CA,N9A 1H9,1Z 74E W57 21 2346 124 1,519-990-5735
D2CAU9,Department 26,Australia,CHIFLEY,CC67,26 Quayside Vista,Australian Capital Territory,ACT,AU,2606,1Z 622 F77 63 0511 206 9,(02) 6168 4659
DKHGB8,Department 13,United Kingdom,HILLICLAY,CHU9,13 Consett Rd,,,GB,KW14 2EU,1Z 148 0E4 45 5048 530 8,079 1914 7499
D3MAU4,Department 90,Australia,MALVERN NORTH,CM413,90 Patton Street,Victoria,VIC,AU,3144,1Z 387 612 00 2420 266 4,(03) 8604 2388
D4NAT7,Department Blaue,Austria,NÖSSLBACH,CN09,Blaue Lagune 2,Lower Austria,NO,AT,4150,1Z 370 751 11 4413 253 7,0650 503 83 61
D5RAT6,Department Am,Austria,REITBERG,CR18,Am Kuhberg 70,Salzburg,SZ,AT,5301,1Z 830 488 48 6579 503 6,0680 735 94 06
D3WAU1,Department 20,Australia,WILLENABRINA,CW312,20 Bourke Crescent,Victoria,VIC,AU,3393,1Z 718 903 42 7870 092 1,(03) 5366 9593
D8KAT8,Department Laxenburger,Austria,KIRCHENVIERTEL,CK314,Laxenburger Strasse 8,Styria,ST,AT,8673,1Z Y81 346 38 4561 425 8,0699 445 25 45
D5SAT4,Department Ackerweg,Austria,STAPFING,CS38,Ackerweg 44,Upper Austria,OO,AT,5233,1Z 84E 740 09 2683 144 4,0688 917 32 86
DHMCA5,Department 4349,Canada,Montreal,CM58,4349 Papineau Avenue,Quebec,QC,CA,H2K 4J5,1Z 393 672 21 8060 388 5,514-887-0521
D9RAT5,Department Stadionstrasse,Austria,REAUZ,CR45,Stadionstrasse 55,Carinthia,KA,AT,9074,1Z 103 17Y 32 6155 255 5,0660 975 26 83
