PRODUCT_CODE;VENDOR_CODE;PRODUCT_NAME;PRODUCT_COLOR;BRAND;TYPE
PR00517;61828504;Olson;Black;B3573;T246
PR00518;84242314;Sotomayor;Orange;B2737;T234
PR00519;76007810;Parker;Green;B3350;T320
PR00520;25087883;Murphy;Green;B3935;T266
PR00521;60073012;Sealy;Blue;B4833;T279
PR00522;46175587;Anderson;Green;B2587;T260
PR00523;57020471;Kline;Blue;B4049;T232
PR00524;82005531;Gaillard;Blue;B4993;T184
PR00525;39404918;Anderson;Black;B2719;T235
PR00526;09093523;Gold;Blue;B3920;T400
PR00527;24028467;Maley;Green;B3936;T332
PR00528;44719256;Miller;Black;B5244;T203
PR00529;20609157;Guzman;Blue;B4111;T386
PR00530;61955000;Scott;Blue;B4848;T231
PR00531;20993364;Ruf;Orange;B3886;T253
PR00532;86814317;Taylor;Blue;B4264;T255
PR00533;15778683;Ramos;Red;B5715;T293
PR00534;88298054;Wilson;Black;B4315;T379
PR00535;93312065;Jude;Blue;B3595;T203
PR00536;76893994;Peachey;Blue;B2539;T224
PR00537;66639115;Wiley;Blue;B3895;T157
PR00538;47869399;Bourque;Blue;B2646;T235
PR00539;73943524;Pinter;Blue;B3697;T246
PR00540;08635506;Nelson;Blue;B4848;T277
PR00541;67774816;Clark;Purple;B2081;T315
PR00542;17789169;Pearson;Blue;B4542;T302
PR00543;68773733;Bates;Purple;B3936;T294
PR00544;11333853;Nagao;Brown;B4033;T314
PR00545;98373710;Fontenot;Purple;B1575;T165
PR00546;67598673;King;Purple;B4619;T280
PR00547;99792388;Howard;Blue;B3435;T308
PR00548;06419886;Maday;Orange;B5249;T146
PR00549;47842952;Cannon;Purple;B3733;T228
PR00550;16784082;Williamson;Blue;B4049;T281
PR00551;46147305;Sturgis;Blue;B3739;T284
PR00552;82977526;Ashley;Blue;B4335;T256
PR00553;05358188;Conner;Black;B2554;T328
PR00554;00237281;Sharkey;Blue;B3622;T320
PR00555;58078809;Keiser;Blue;B4414;T211
PR00556;60947874;Adger;Blue;B3520;T283
PR00557;73427359;Lindholm;Blue;B2190;T289
PR00558;24140938;Rose;Blue;B3799;T294
PR00559;46087539;Killgore;Black;B2063;T356
PR00560;49470170;Dillingham;Purple;B5003;T323
PR00561;07048625;Hernandez;Purple;B4580;T172
PR00562;33848173;Baptiste;Blue;B2545;T224
PR00563;23012682;Lawrence;Blue;B5135;T207
PR00564;43766647;Johnson;Green;B3197;T300
PR00565;53390815;Ayres;Purple;B3367;T259
PR00566;06038290;Smith;Blue;B5396;T276
PR00567;14416664;Lees;Blue;B4214;T269
PR00568;66744101;Mahon;Blue;B3758;T325
PR00569;06659487;Baker;Yellow;B4916;T108
PR00570;96867932;Mae;Blue;B4642;T250
PR00571;19279236;Dietz;Blue;B2975;T278
PR00572;34225292;Fuller;Blue;B3619;T224
PR00573;32323504;Lute;Blue;B4150;T166
PR00574;60395653;Vanmeter;Red;B4907;T346
PR00575;38741149;Hutchings;Orange;B3228;T175
PR00576;47254814;Marquez;Blue;B3564;T321
PR00577;32663452;Gomer;Green;B3912;T282
PR00578;21641600;Schmidt;Orange;B3475;T222
PR00579;88841291;Morgan;Orange;B2965;T239
PR00580;21767909;Diaz;Purple;B2429;T354
PR00581;73357549;Ritchey;Red;B4739;T267
PR00582;80261640;Williams;Blue;B4378;T321
PR00583;70551109;Diaz;Blue;B2298;T306
PR00584;90042411;Gatson;Blue;B3964;T318
PR00585;27658456;Craddock;Green;B4795;T165
PR00586;54819811;Garcia;Purple;B5603;T178
PR00587;87815543;Nichols;Blue;B3534;T202
PR00588;15178472;Simmons;Blue;B4057;T196
PR00589;79284285;Roberts;Blue;B4457;T264
PR00590;15183650;Stacy;Silver;B2801;T303
PR00591;38126653;Holding;Blue;B4718;T148
PR00592;99012596;James;Blue;B4382;T259
PR00593;61555669;Carrier;Purple;B4007;T297
PR00594;69730954;Gonzales;Black;B2333;T273
PR00595;06652309;Davis;Yellow;B5690;T255
PR00596;27022801;Gentry;Silver;B3934;T352
PR00597;99729706;Mitchell;Orange;B5344;T245
PR00598;22027526;Baker;Blue;B3786;T290
PR00599;00536405;Witter;Blue;B4316;T295
PR00600;16424463;Weiss;Orange;B3364;T445
PR00601;12179925;Lane;Blue;B4864;T164
PR00602;54580167;Rushton;Purple;B5085;T179
PR00603;17600676;Parrish;Blue;B4376;T282
PR00604;82236239;Holmes;Blue;B4997;T237
PR00605;91365211;Floyd;Purple;B4402;T324
PR00606;96088934;Pinto;Blue;B2795;T299
PR00607;27118534;Zeigler;Blue;B5646;T320
PR00608;92112654;Owens;Blue;B4616;T255
PR00609;73957712;Parker;Yellow;B3896;T239
PR00610;11880665;Stein;Green;B3030;T311
PR00611;27677403;Klatt;White;B5499;T249
PR00612;57954726;Boling;Green;B3831;T279
PR00613;58700572;Reese;Blue;B5209;T304
PR00614;78309168;Hayes;Brown;B5177;T276
PR00615;30531087;Tucker;Blue;B4694;T284
PR00616;23411477;Caldwell;Blue;B4864;T336
PR00617;37601198;Covington;Blue;B3922;T233
PR00618;90454321;Rowe;Green;B4005;T290
PR00619;42910720;Unknow;Blue;B4184;T386
PR00620;93159206;Buckley;Blue;B1970;T251
PR00621;47177015;Drayton;Silver;B4739;T269
PR00622;23066233;Zehnder;Green;B3771;T324
PR00623;36372719;Garcia;Blue;B3783;T263
PR00624;89991537;Beattie;Blue;B5565;T338
PR00625;18354636;Parrish;Green;B2839;T319
PR00626;39284545;White;Green;B2185;T252
PR00627;62045145;Simas;Blue;B3852;T241
PR00628;70831594;Moore;Purple;B6157;T287
PR00629;30216689;Adams;Black;B2512;T308
PR00630;70188389;Diamond;Green;B3385;T291
PR00631;45015075;Carlson;Black;B3338;T269
PR00632;63071213;Blum;Blue;B4540;T286
PR00633;59688305;Roseberry;Black;B3092;T173
PR00634;74106947;Martin;Blue;B4981;T298
PR00635;27862082;Duran;Purple;B3346;T256
PR00636;52624828;Ortega;Blue;B6727;T174
PR00637;72802336;Smith;Brown;B4090;T244
PR00638;77612963;Corey;Blue;B3805;T288
PR00639;62523217;Gregory;Green;B4484;T204
PR00640;60767759;Drennon;Green;B2737;T274
PR00641;73577271;Conrad;Blue;B5018;T322
PR00642;85170671;Clark;Blue;B3973;T343
PR00643;17953391;North;Green;B2337;T266
PR00644;34430786;Hassan;Red;B3248;T224
PR00645;38108117;Moore;Black;B5504;T180
PR00646;63432097;Reilly;Blue;B4770;T250
PR00647;41984744;Browning;Blue;B2757;T204
PR00648;23628311;James;Blue;B3667;T328
PR00649;90029575;Bailey;Red;B4431;T264
PR00650;61874501;Little;Blue;B3711;T263
PR00651;22441049;Deloach;Blue;B5836;T250
PR00652;71366545;Ryckman;Yellow;B3868;T183
PR00653;54287077;Anderton;Blue;B5180;T208
PR00654;81000308;Rivas;Blue;B5010;T370
PR00655;87200545;Tapia;Blue;B4743;T190
PR00656;94965843;Terry;Green;B5441;T302
PR00657;39038603;Galvan;Blue;B5830;T226
PR00658;70380904;Brown;Purple;B1992;T197
PR00659;20158300;Brandt;Green;B3397;T283
PR00660;06357472;Manning;Blue;B3738;T226
PR00661;24569607;Anderson;Purple;B3775;T180
PR00662;27737679;Thomas;Blue;B2353;T225
PR00663;56797242;Macias;Brown;B3286;T351
PR00664;22610539;Casteel;Green;B4452;T181
PR00665;89171356;Davis;Black;B3962;T295
PR00666;57731154;Peterson;Orange;B4274;T325
PR00667;99877946;Moffett;Green;B4200;T230
PR00668;83987601;Soler;Green;B3636;T299
PR00669;89403711;Eddington;Blue;B4633;T109
PR00670;71202567;Wareham;Green;B3187;T353
PR00671;85973742;Fellows;Blue;B4880;T177
PR00672;85105834;Heck;Green;B4519;T344
PR00673;66174573;Watkins;Orange;B3466;T214
PR00674;77797601;Coombs;Purple;B4076;T324
PR00675;24699249;Hayes;Silver;B4478;T297
PR00676;62779636;Hill;Blue;B3094;T230
PR00677;46353837;Astle;Blue;B4849;T294
PR00678;60087231;Miskell;Orange;B2914;T232
PR00679;93313358;Jefferson;White;B2930;T322
PR00680;34916323;Pickett;Green;B3266;T231
PR00681;30812437;Brock;Blue;B3767;T264
PR00682;78104735;Valdivia;Red;B3149;T237
PR00683;48621787;Peterson;Purple;B3438;T101
PR00684;47150106;Schilling;Blue;B4706;T300
PR00685;16060540;Jones;Red;B2731;T259
PR00686;88381970;Lee;Green;B5443;T248
PR00687;26109087;Moose;Orange;B2511;T236
PR00688;42402160;Savage;Blue;B2938;T163
PR00689;27314676;Norton;Blue;B5794;T286
PR00690;65237536;Poitra;Yellow;B3226;T242
PR00691;90477074;Cuff;Silver;B3772;T257
PR00692;08662199;Evans;Green;B4550;T293
PR00693;22855153;Ireland;Blue;B3270;T220
PR00694;87025989;Wilson;Blue;B3141;T208
PR00695;48288305;Whalen;Blue;B3913;T315
PR00696;38782356;Kropp;Green;B4227;T242
PR00697;75705705;Neihoff;Green;B4790;T353
PR00698;31443468;Young;Green;B5608;T250
PR00699;06417430;Bickham;Blue;B4906;T210
PR00700;88107218;Bowers;Red;B3172;T263
PR00701;25917969;Donohue;Green;B4652;T321
PR00702;60839704;Summers;Brown;B3710;T317
PR00703;24169176;Wygant;Purple;B4998;T356
PR00704;60398807;Evans;Black;B5454;T296
PR00705;67795628;Stewart;Blue;B4246;T238
PR00706;95457601;McKinnon;Blue;B4107;T317
PR00707;77150697;Ballard;Black;B3976;T223
PR00708;94644882;Kemmer;Purple;B3793;T263
PR00709;40886684;Gattis;Purple;B2265;T348
PR00710;40222528;Gaydos;Blue;B4261;T324
PR00711;33461340;Lewis;White;B4123;T269
PR00712;98674671;Gooden;Orange;B3819;T362
PR00713;47240953;Ostler;Blue;B3392;T309
PR00714;49444961;Jones;Blue;B3015;T242
PR00715;34156691;Hardin;Blue;B2446;T221
PR00716;58358566;White;White;B3941;T301
PR00717;48281565;Boston;Blue;B4926;T299
PR00718;72532550;Thompson;Blue;B3765;T232
PR00719;35213279;Kelly;Black;B4724;T309
PR00720;29476725;Kelley;Green;B3094;T273
PR00721;29398209;Hollingsworth;Purple;B4108;T131
PR00722;13191559;Stevenson;Blue;B3541;T238
PR00723;66398853;Hollar;Green;B6023;T267
PR00724;55773506;White;Green;B4392;T314
PR00725;90918302;Starks;Blue;B5949;T329
PR00726;23816985;Reilly;Purple;B3825;T304
PR00727;87242213;Rothman;Green;B4039;T336
PR00728;34972152;Defreitas;Blue;B2707;T198
PR00729;37530368;Paugh;White;B3398;T243
PR00730;93349374;Ewing;Green;B3289;T250
PR00731;71400788;Frederick;Blue;B4513;T192
PR00732;79639496;Peters;Blue;B3612;T300
PR00733;73931764;Campbell;Blue;B3976;T282
PR00734;80552846;Newton;Purple;B3877;T273
PR00735;45020405;Mull;Blue;B3414;T319
PR00736;28002131;Jordan;Purple;B3728;T287
PR00737;69259165;Williams;Black;B3524;T251
PR00738;76841651;Clark;Blue;B3688;T333
PR00739;34568668;Odell;Blue;B3374;T292
PR00740;03872880;Hafner;Blue;B4623;T299
PR00741;70292354;Carlyle;Red;B3088;T268
PR00742;39227292;Harbuck;Green;B3853;T196
PR00743;30982275;Nolan;Yellow;B4842;T289
PR00744;38576952;Ford;Purple;B4131;T285
PR00745;55548692;Seals;Blue;B4382;T271
PR00746;19739384;Poisson;Green;B4753;T315
PR00747;08005060;Suarez;Red;B4943;T202
PR00748;26466010;Betancourt;Purple;B4012;T226
PR00749;30140761;Martin;Green;B4059;T231
PR00750;89640028;Holloway;White;B2195;T250
PR00751;45309761;Derrickson;Blue;B2845;T198
PR00752;74715416;Wilson;Purple;B2808;T219
PR00753;77168331;Eaton;Orange;B4200;T234
PR00754;37301441;Anderson;Blue;B4797;T197
PR00755;29598837;Quesada;Blue;B4924;T213
PR00756;43125441;Baker;Red;B2981;T233
PR00757;52713107;Pence;Blue;B3923;T357
PR00758;05212491;Olivares;Brown;B5129;T370
PR00759;27797293;McCann;Blue;B4386;T269
PR00760;92834418;Blair;Blue;B5854;T307
PR00761;89285690;Vanderburg;Green;B2064;T326
PR00762;29653631;Jones;Blue;B3929;T282
PR00763;96096394;Overton;Blue;B5096;T255
PR00764;13168202;Weiss;Purple;B3861;T245
PR00765;71266602;Ware;Blue;B3063;T251
PR00766;97391831;Norman;Purple;B3757;T337
PR00767;32776094;Lovelace;Blue;B4358;T201
PR00768;71199092;Kelley;Blue;B2464;T344
PR00769;09330198;Skinner;Blue;B2348;T212
PR00770;75651344;Seymour;Blue;B3511;T384
PR00771;08956228;Jenkins;Blue;B4784;T232
PR00772;01797552;Thompson;Green;B4719;T273
PR00773;79580039;Adrian;Brown;B4841;T260
PR00774;05216426;Fulmer;Blue;B4039;T265
PR00775;41303460;Foley;Green;B3750;T266
PR00776;00764599;Timmer;Blue;B4769;T277
PR00777;21057070;Keeley;Green;B2214;T303
PR00778;81592944;Manning;Blue;B4070;T299
PR00779;64111335;Bryan;Blue;B3672;T306
PR00780;46675308;Cotton;Blue;B5417;T300
PR00781;34565689;Caputo;Blue;B3838;T247
PR00782;32397259;Anderson;Blue;B4592;T242
PR00783;21925737;Schroeter;Yellow;B5730;T293
PR00784;88144566;Weekes;Blue;B2516;T135
PR00785;44185155;Churchwell;Blue;B2480;T216
PR00786;65884001;Mederos;Blue;B2018;T262
PR00787;36153725;Edwards;Blue;B4693;T235
PR00788;87178577;Boyd;Green;B3087;T226
PR00789;98145456;Morgan;Red;B3101;T417
PR00790;24626678;Jantz;Green;B3432;T157
PR00791;42016128;Nordstrom;Blue;B3831;T266
PR00792;40768588;Knudsen;Blue;B3576;T188
PR00793;37722681;Burke;Green;B3513;T275
PR00794;67240479;Fisher;Blue;B3878;T371
PR00795;74962316;Hammer;Silver;B1396;T263
PR00796;71716607;Ford;Blue;B4607;T130
PR00797;45178633;McNulty;Orange;B4490;T262
PR00798;27565966;Keyes;Blue;B4866;T238
PR00799;25966039;Thomas;Blue;B3913;T311
PR00800;57724154;Woodard;Red;B3808;T241
PR00801;43848761;Smith;Green;B4037;T261
PR00802;58591154;Crane;Blue;B2120;T322
PR00803;48490247;Wall;Yellow;B3622;T298
PR00804;95127252;Ross;Green;B4955;T214
PR00805;29398026;Ledford;Blue;B4635;T188
PR00806;28573575;Coleman;Green;B4336;T117
PR00807;55278156;Childers;Black;B4248;T315
PR00808;29995116;Jackson;Green;B3235;T299
PR00809;30252743;Murphy;Blue;B6557;T292
PR00810;15199437;Sims;Green;B3096;T230
PR00811;61444877;Simmons;Blue;B5120;T230
PR00812;50172980;Woodruff;Blue;B4127;T345
PR00813;73355888;Hand;Purple;B4395;T218
PR00814;39451846;Velasquez;Black;B1977;T261
PR00815;02119930;Franklin;Blue;B5362;T337
PR00816;63103254;Newman;Blue;B2207;T245
PR00817;66375490;Dobbins;Purple;B3264;T296
PR00818;09615639;Soto;Orange;B5052;T249
PR00819;09967917;Moreno;Blue;B3201;T257
PR00820;27322762;Garcia;Green;B3515;T316
PR00821;07422226;Saavedra;Blue;B4220;T344
PR00822;60087022;Huff;Silver;B4355;T213
PR00823;72372399;Cote;Black;B3266;T317
PR00824;56748275;Jones;Black;B2674;T273
PR00825;83947542;Lake;Green;B3674;T322
PR00826;43843618;Merritt;Blue;B2616;T174
PR00827;24447226;Long;Green;B4092;T355
PR00828;48974752;Cooper;Purple;B5177;T299
PR00829;61565549;Jimenez;Blue;B2503;T195
PR00830;48961530;Marchese;Black;B4433;T220
PR00831;60890859;Herrera;Blue;B2905;T332
PR00832;68608599;Carson;Blue;B4756;T225
PR00833;40898371;Clanton;Blue;B5149;T290
PR00834;53241115;Tutt;Blue;B2339;T267
PR00835;94010674;Moulton;Purple;B7792;T253
PR00836;91125622;Fredrickson;Black;B4763;T194
PR00837;01857327;Weber;Blue;B3359;T203
PR00838;22409304;Salas;Purple;B2580;T190
PR00839;78050132;King;Green;B5196;T201
PR00840;72811865;Serrano;Blue;B4003;T205
PR00841;78659331;Vanwingerden;Black;B3929;T321
PR00842;74453110;Gray;Blue;B2814;T238
PR00843;12802865;Parks;Purple;B4024;T258
PR00844;67539187;Burdick;Purple;B4486;T222
PR00845;35656467;Brister;Blue;B3589;T299
PR00846;42747957;Brown;Green;B4849;T372
PR00847;13593044;Sadler;Blue;B3714;T312
PR00848;15147782;Romeo;Red;B4999;T266
PR00849;76503092;Warner;Blue;B3892;T247
PR00850;31823624;Duran;Blue;B4837;T286
PR00851;82648481;Arnott;Blue;B5492;T243
PR00852;30531803;Addison;Blue;B3956;T337
PR00853;54648016;Escobar;Purple;B4920;T215
PR00854;29466667;Johanson;Blue;B3662;T219
PR00855;45058473;Graber;Blue;B5437;T302
PR00856;12487800;Ross;Blue;B5031;T204
PR00857;45292978;Joyce;Purple;B3111;T190
PR00858;16250654;Benedetti;Blue;B4922;T187
PR00859;87147837;Syverson;Blue;B3541;T242
PR00860;68490933;Propes;Green;B4685;T277
PR00861;32017232;Ho;Blue;B3887;T255
PR00862;42037124;Sullivan;Blue;B4420;T274
PR00863;93010102;Milone;Red;B3287;T316
PR00864;27143781;Lamb;Green;B3135;T231
PR00865;70807421;Tolbert;Red;B4080;T298
PR00866;82348711;Gray;Blue;B4890;T280
PR00867;87740235;Butler;Blue;B5106;T276
PR00868;63254299;Rodriguez;Purple;B3602;T185
PR00869;88836607;Ordonez;Blue;B3669;T147
PR00870;52134083;Lee;Blue;B4165;T264
PR00871;40848246;Randle;Blue;B2847;T269
PR00872;27652405;Conway;Blue;B3556;T228
PR00873;65901395;Martin;Orange;B4058;T267
PR00874;66561318;White;Blue;B4688;T279
PR00875;14823088;Applegate;Green;B3400;T291
PR00876;95477128;Wymore;Green;B4151;T300
PR00877;67736950;Jackson;Green;B4772;T350
PR00878;97681080;Hunt;Blue;B5485;T284
PR00879;96005355;Schwarz;Purple;B3818;T246
PR00880;50310118;Cannon;Blue;B3974;T162
PR00881;27156547;Wolfe;Black;B3893;T279
PR00882;41785655;Holden;Blue;B2422;T289
PR00883;57118353;Tucker;Black;B4192;T326
PR00884;05347028;Graves;Green;B3271;T184
PR00885;58847667;George;Blue;B4817;T307
PR00886;19573455;Green;Blue;B5200;T257
PR00887;63352990;Martin;Green;B2402;T237
PR00888;60156227;Enloe;Blue;B4112;T233
PR00889;53504984;Tucker;Purple;B2006;T182
PR00890;83293180;Seeley;Blue;B4006;T242
PR00891;01610324;Reyes;Blue;B4675;T381
PR00892;62178755;Kozak;Red;B1866;T174
PR00893;41104850;Carter;Black;B4739;T260
PR00894;61788597;Ellis;Green;B4013;T203
PR00895;03200990;Hutchins;Blue;B4686;T324
PR00896;04614635;Bogue;Brown;B2942;T293
PR00897;26926094;Blackburn;Blue;B3969;T248
PR00898;71681530;Holland;Blue;B2412;T278
PR00899;72350236;Lancaster;Blue;B4117;T269
PR00900;07342313;Jones;Red;B3155;T288
PR00901;99894613;Langevin;Blue;B3598;T230
PR00902;42303469;Wilson;Blue;B3034;T243
PR00903;18364372;Robinson;Black;B2622;T284
PR00904;15489772;Donnelly;Orange;B3096;T192
PR00905;31522172;Pace;Purple;B4856;T210
PR00906;10984949;Barnes;Blue;B5174;T263
PR00907;27259897;Ryles;Blue;B4571;T257
PR00908;87231905;Purnell;Purple;B3610;T269
PR00909;49691647;Wells;Yellow;B5810;T219
PR00910;19286673;Rose;Yellow;B2697;T276
PR00911;72425752;Robinson;Blue;B2157;T308
PR00912;01858886;Lamas;Green;B4171;T249
PR00913;82965958;Robertson;Black;B3205;T260
PR00914;89934055;Story;Blue;B5118;T217
PR00915;98580368;Hutchinson;Black;B3864;T285
PR00916;82337561;Gomez;Purple;B4287;T249
PR00917;95489750;Bright;White;B6383;T382
PR00918;10339444;McLemore;Brown;B4065;T354
PR00919;16060622;Mull;Silver;B3242;T184
PR00920;44504266;Obanion;Blue;B4844;T202
PR00921;16209697;Farmer;Blue;B3910;T316
PR00922;96297763;McGill;Brown;B2076;T328
PR00923;96640579;Deering;Green;B4197;T186
PR00924;19522049;Goshorn;Purple;B3775;T332
PR00925;72584749;Gentry;Red;B4703;T303
PR00926;12760646;Sparks;Black;B3931;T235
PR00927;55043192;Hagen;Blue;B2960;T194
PR00928;05817407;Howard;Blue;B3952;T242
PR00929;20379596;Dougherty;Blue;B2411;T299
PR00930;02014501;Scates;Red;B2685;T259
PR00931;90232077;Wood;Blue;B3689;T247
PR00932;96922571;Peters;Purple;B2489;T202
PR00933;74876384;Huynh;Green;B4810;T135
PR00934;61016769;Barrett;Purple;B4785;T159
PR00935;13721005;Ponce;Purple;B5077;T197
PR00936;11479014;Johnson;Orange;B3602;T141
PR00937;96962751;Robinson;Blue;B4014;T349
PR00938;46123296;Martin;Silver;B4958;T300
PR00939;64787272;Davis;Blue;B4199;T338
PR00940;16599114;Theisen;Blue;B3944;T262
PR00941;24511527;Drummond;Blue;B3978;T198
PR00942;25187176;Hindman;Blue;B3316;T312
PR00001;45734953;Adams;Black;B3063;T320
PR00002;25679364;Roller;Black;B1096;T163
PR00003;15761577;Quijano;Blue;B4721;T257
PR00004;82046970;Justice;Black;B3495;T326
PR00005;42891212;Turner;Blue;B5092;T199
