product_name,category_name,category_code,subcategory_name,subcategory_code
Корпус (верхняя часть),Детали и запчасти,00000000804,к мультикоптерам,00000001802
Двигатель,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Плата ,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пульт управления ,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Плата для машинки 1562A,Детали и запчасти,00000000804,к машинкам,00000001516
"Аккумулятор Ni-Cd 09,6V 0700mah",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 07,4V 0650mah ",Товары,00000000270,Аксессуары и комплектующие,00000000481
Зарядное устройство Li-Po USB,,,Товары,00000000270
"Аккумулятор Ni-Cd 9,6V 400mah",Детали и запчасти,00000000804,к машинкам,00000001516
Крепление колес,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пластиковый элемент,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Держатель колес,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пластиковый элемент,Детали и запчасти,00000000804,к мультикоптерам,00000001802
896,Товары,00000000270,Детали и запчасти,00000000804
Корпус квадрокоптера верхний красный,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Корпус квадрокоптера верхний голубой,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Рама ,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Держатель аккумулятора,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Плата,Детали и запчасти,00000000804,к мультикоптерам,00000001802
897,Товары,00000000270,Детали и запчасти,00000000804
Дуга защитная (4шт.),Детали и запчасти,00000000804,к мультикоптерам,00000001802
Лопасти (4шт.),Детали и запчасти,00000000804,к мультикоптерам,00000001802
Лыжи,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Камера,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Плата,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Держатель двигателя (4шт.),Детали и запчасти,00000000804,к мультикоптерам,00000001802
"Аккумулятор Li-po 03,7V 0600mah 20C Micro-heli",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 03,7V 0180mah 15C ",Товары,00000000270,Аксессуары и комплектующие,00000000481
Чашка кардана центрального (dia 2*8mm),Детали и запчасти,00000000804,к автомоделям,00000001131
Крепление спойлера (антикрыла),Детали и запчасти,00000000804,к автомоделям,00000001131
Антикрыло,Детали и запчасти,00000000804,к автомоделям,00000001131
Стойка корпуса,Детали и запчасти,00000000804,к автомоделям,00000001131
Приемник пульта управления,Детали и запчасти,00000000804,к автомоделям,00000001131
"Аккумулятор Li-po 07,4V 1300mah 35C JST NXE",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 07,4V 1500mah 25C JST NXE",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 11,1V 2200mah 35C XT60 NXE",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 14,8V 1300mah 60C XT60 NXE",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 18,5V 4200mah 45C NXE",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 22,2V 4500mah 45C NXE",Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Li-po 03,7V 0600mah 30C Micro-heli ",Товары,00000000270,Аксессуары и комплектующие,00000000481
Коннектор для аккумулятора 4мм,Товары,00000000270,Аксессуары и комплектующие,00000000481
Коннектор для аккумулятора XT150,Товары,00000000270,Аксессуары и комплектующие,00000000481
Двигатель бесколлекторный 2435 4800KV/4Y Classic ,Товары,00000000270,Аксессуары и комплектующие,00000000481
Пульт управления FLYSKY ,Товары,00000000270,Аксессуары и комплектующие,00000000481
Пульт управления FLYSKY ,Товары,00000000270,Аксессуары и комплектующие,00000000481
"Сервопривод micro 03,5кг/0,12сек/6V/metall/Power HD",,,Товары,00000000270
Лыжи для мультикоптера ,Товары,00000000270,Аксессуары и комплектующие,00000000481
Лыжи для мультикоптера ,Товары,00000000270,Аксессуары и комплектующие,00000000481
Пульт управления 9 девятиканальный Radiolink,Товары,00000000270,Аксессуары и комплектующие,00000000481
"Набор шестигранных ключей (ключи 1,5мм, 2мм, 2.5мм, 3мм)",,,Товары,00000000270
Зарядное устройство Imax B6 80W (DC 11-18V),,,Товары,00000000270
30x40,,,Товары,00000000270
рамка 50х65 серебро,Товары,00000000270,Раскраски по номерам,00000002810
50х65 ,,,Товары,00000000270
рамка 50х65 золото,Товары,00000000270,Раскраски по номерам,00000002810
рамка 50х65 венге,Товары,00000000270,Раскраски по номерам,00000002810
рамка 30х40 венге,Товары,00000000270,Раскраски по номерам,00000002810
рамка 30х40 золото,Товары,00000000270,Раскраски по номерам,00000002810
рамка 30х40 серебро,Товары,00000000270,Раскраски по номерам,00000002810
рамка 40х50 золото,Товары,00000000270,Раскраски по номерам,00000002810
Раскраски по номерам,,,,
рамка 30х40 белый,Товары,00000000270,Раскраски по номерам,00000002810
рамка 40х50 Б1 орех,Товары,00000000270,Раскраски по номерам,00000002810
Космический песок 3 кг Обычный Сиреневый,Товары,00000000270,Игрушки,00000001885
Космический песок 1 кг Песочница+Формочки Сиреневый,Товары,00000000270,Игрушки,00000001885
Космический песок 3 кг Песочница+Формочки Сиреневый,Товары,00000000270,Игрушки,00000001885
Truehearted,,,,
"Набор красок для творчества с трафаретом для нанесения и кисточками, 20*20",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 20*20",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 20*20",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 20*20",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 20*20",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 20*20",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*30",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*30",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 30*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*40",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
"Набор красок для творчества с трафаретом для нанесения и кисточками, 40*50",,,Товары,00000000270
