postal_code,address,city,country,,
225400,"б-р Карвата, 6, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 133 (в больнице)",г. Барановичи,Беларусь,,
225409,"Слонимское шоссе, 4 (онкологический диспансер)",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 9",г. Барановичи,Беларусь,,
225409,"ул. Репина, 59",г. Барановичи,Беларусь,,
225409,"ул. Тельмана, 15",г. Барановичи,Беларусь,,
225409,"ул. Советская, 60-89",г. Барановичи,Беларусь,,
225409,"ул. Притыцкого, 83",г. Барановичи,Беларусь,,
225409,"ул. Кирова, 44",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 281, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Парковая, 37 (ТД ""ДДМ"")",г. Барановичи,Беларусь,,
225328,"ул. А. Рымши, 17",г. Барановичи,Беларусь,,
225340,"ул. 60 лет СССР, 16, корп. А",г. Барановичи,Беларусь,,
225367,"ул. Советская, 35",г. Барановичи,Беларусь,,
225312,"пер. Парковый, 1, корп. А",г. Барановичи,Беларусь,,
225366,"ул. Озерная, 6",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 268",г. Барановичи,Беларусь,,
225316,"ул. Ленина, 3",г. Барановичи,Беларусь,,
225356,"ул. Мицкевича, 21",г. Барановичи,Беларусь,,
225409,"ул. Советская, 106-2",г. Барановичи,Беларусь,,
225416,"ул. Фестивальная, 16, корп. А",г. Барановичи,Беларусь,,
225416,"ул. Жукова, 10/10",г. Барановичи,Беларусь,,
225409,"ул. Красноармейская, 26, корп. А",г. Барановичи,Беларусь,,
225709,"ул. Глинки, 44",г. Барановичи,Беларусь,,
225409,"ул. Чернышевского, 61",г. Барановичи,Беларусь,,
225320,"пер. Клубный, 5, корп. А",г. Барановичи,Беларусь,,
225410,"пер. Клубный, 5, корп. А",г. Барановичи,Беларусь,,
225411,"ул. Кирова, 184",г. Барановичи,Беларусь,,
225411,"ул. Кирова, 81",г. Барановичи,Беларусь,,
225419,"ул. 50 лет ВЛКСМ, 6Г-5",г. Барановичи,Беларусь,,
225320,"ул. Гагарина, 19-206",г. Барановичи,Беларусь,,
225410,"ул. Космонавтов, 7",г. Барановичи,Беларусь,,
225409,"ул. Тельмана, 94",г. Барановичи,Беларусь,,
225320,"ул. Могучего, 16-2",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 224, корп. Д/1",г. Барановичи,Беларусь,,
225409,"ул. Пролетарская, 137",г. Барановичи,Беларусь,,
225409,"ул. Смоленская, 12А-3",г. Барановичи,Беларусь,,
225320,"ул. Ленина, 24, гаражный массив, бокс №10",г. Барановичи,Беларусь,,
225410,"ул. Минская, 12",г. Барановичи,Беларусь,,
225409,"ул. Кирова, 79/5",г. Барановичи,Беларусь,,
225417,"пер. 2-й Водопроводный, 25, корп. В, комн. 4",г. Барановичи,Беларусь,,
225409,"ул. Жукова, 12/2",г. Барановичи,Беларусь,,
225409,"ул. Вильчковского, 182/Г",г. Барановичи,Беларусь,,
225410,"пер. 2-й Тавлая, 15",г. Барановичи,Беларусь,,
225411,"ул. Пролетарская, 46",г. Барановичи,Беларусь,,
225416,"ул. Королика, 8",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 53",г. Барановичи,Беларусь,,
225410,"ул. Фроленкова, 49, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Дзержинского, 7",г. Барановичи,Беларусь,,
225409,"ул. Крупской, 1-20",г. Барановичи,Беларусь,,
225415,"ул. Слонимская, 66",г. Барановичи,Беларусь,,
225323,"ул. Центральная, 19",г. Барановичи,Беларусь,,
225409,"ул. Бадака, 17",г. Барановичи,Беларусь,,
225409,"пер. 1-й Советский, 1 (ТЦ ""Сити"")",г. Барановичи,Беларусь,,
225320,"ул. Советская, 82, корп. 1",г. Барановичи,Беларусь,,
225409,"ул. Советская, 80",г. Барановичи,Беларусь,,
225415,"ул. Березовая, 1, корп. А, оф. 1",г. Барановичи,Беларусь,,
225409,"ул. Ленина, 2",г. Барановичи,Беларусь,,
225409,"б-р Штоккерау, 7",г. Барановичи,Беларусь,,
225409,"ул. Советская, 86",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 23",г. Барановичи,Беларусь,,
225409,"ул. Советская, 57, корп. А",г. Барановичи,Беларусь,,
225409,"б-р Хейнола, 8",г. Барановичи,Беларусь,,
225369,"ул. Мицкевича, 65, корп. А",г. Барановичи,Беларусь,,
225368,"с/с Карчевский, ул. Парковая, 7",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 124, корп. Г",г. Барановичи,Беларусь,,
225409,"Слонимское шоссе, 1",г. Барановичи,Беларусь,,
225320,"ул. Баранова, 48-36",г. Барановичи,Беларусь,,
225409,"ул. Дзержинского, 3",г. Барановичи,Беларусь,,
225409,"ул. Куйбышева, 42",г. Барановичи,Беларусь,,
225409,"ул. Калинина, 142",г. Барановичи,Беларусь,,
225409,"ул. Лазо, 4",г. Барановичи,Беларусь,,
225409,"пер. 2-й Рабочий, 12",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 182, корп. Б",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 297, корп. А",г. Барановичи,Беларусь,,
225320,"ул. 50 лет ВЛКСМ, 3",г. Барановичи,Беларусь,,
225407,"ул. Бадака, 31",г. Барановичи,Беларусь,,
225320,"ул. Вильчковского, 184",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 77, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Куйбышева, 88",г. Барановичи,Беларусь,,
225409,"ул. Горького, 56, корп. А",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 8",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 133",г. Барановичи,Беларусь,,
225415,"ул. Калинина, 138",г. Барановичи,Беларусь,,
225409,"ул. Фабричная, 6",г. Барановичи,Беларусь,,
225409,"ул. Мицкевича, 11",г. Барановичи,Беларусь,,
225409,"ул. Куйбышева, 46",г. Барановичи,Беларусь,,
225409,"Слонимское шоссе, 1, корп. А",г. Барановичи,Беларусь,,
225410,"ул. Проминского, 1",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 5",г. Барановичи,Беларусь,,
225409,"ул. Царюка, 5",г. Барановичи,Беларусь,,
225350,,г. Барановичи,Беларусь,,
225320,"пер. 3-й Вильчковского, 15",г. Барановичи,Беларусь,,
225409,"ул. Короткая, 11",г. Барановичи,Беларусь,,
225409,"ул. Горького, 58",г. Барановичи,Беларусь,,
225416,"ул. Жукова, 10/2",г. Барановичи,Беларусь,,
225409,"ул. Войкова, 2",г. Барановичи,Беларусь,,
225409,"пр-т Советский, 41",г. Барановичи,Беларусь,,
225411,"ул. Пролетарская, 175",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 27",г. Барановичи,Беларусь,,
225400,"ул. Грицевца, 5",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 62",г. Барановичи,Беларусь,,
225320,"пл. Ленина, 2",г. Барановичи,Беларусь,,
225400,"ул. Торфяная, 31",г. Барановичи,Беларусь,,
225320,"Слонимское шоссе, 14",г. Барановичи,Беларусь,,
225409,"ул. Холостякова, 42, корп. В",г. Барановичи,Беларусь,,
225320,"ул. Советская, 67",г. Барановичи,Беларусь,,
225320,"ул. Королика, 4",г. Барановичи,Беларусь,,
225320,"ул. Брестская, 291",г. Барановичи,Беларусь,,
225404,"ул. Войкова, 21",г. Барановичи,Беларусь,,
225413,"ул. Брестская, 272",г. Барановичи,Беларусь,,
225416,"ул. Наконечникова, 11",г. Барановичи,Беларусь,,
225409,"ул. Королика, 8",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 311",г. Барановичи,Беларусь,,
225409,"ул. Пролетарская, 46",г. Барановичи,Беларусь,,
225411,"ул. Пролетарская, 40",г. Барановичи,Беларусь,,
225409,"ул. 50 лет ВЛКСМ, 9",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 47, корп. В",г. Барановичи,Беларусь,,
225409,"ул. Кирова, 77",г. Барановичи,Беларусь,,
225404,"ул. Чурилина, 15",г. Барановичи,Беларусь,,
225404,"ул. Чурилина, 15",г. Барановичи,Беларусь,,
225409,"ул. Войкова, 23, корп. А",г. Барановичи,Беларусь,,
225333,,г. Барановичи,Беларусь,,
225406,"ул. 50 лет БССР, 21",г. Барановичи,Беларусь,,
225409,"ул. Маяковского, 7",г. Барановичи,Беларусь,,
225406,"ул. 50 лет БССР, 51",г. Барановичи,Беларусь,,
225409,"ул. Вильчковского, 184, корп. В",г. Барановичи,Беларусь,,
225320,"ул. Брестская, 135",г. Барановичи,Беларусь,,
225312,,г. Барановичи,Беларусь,,
225407,"Слонимское шоссе, 53, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Советская, 79",г. Барановичи,Беларусь,,
225409,"ул. Лисина, 8",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 10",г. Барановичи,Беларусь,,
225416,"ул. Наконечникова, 50",г. Барановичи,Беларусь,,
225320,"ул. Ленина, 5",г. Барановичи,Беларусь,,
225409,"ул. Красноармейская, 21",г. Барановичи,Беларусь,,
225409,"ул. Промышленная, 9, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Вильчковского, 159",г. Барановичи,Беларусь,,
225320,"ул. Лермонтова, 37/4",г. Барановичи,Беларусь,,
225409,"ул. Царюка, 39",г. Барановичи,Беларусь,,
225409,"ул. Советская, 108",г. Барановичи,Беларусь,,
225410,"ул. Текстильная, 24",г. Барановичи,Беларусь,,
225320,"ул. Комсомольская, 27",г. Барановичи,Беларусь,,
225409,"Слонимское шоссе, 47/Г",г. Барановичи,Беларусь,,
225417,"ул. Тельмана, 110",г. Барановичи,Беларусь,,
225409,"ул. Димитрова, 42",г. Барановичи,Беларусь,,
225410,"ул. Минский тупик, 7",г. Барановичи,Беларусь,,
225409,"ул. Советская, 59, а/я 1",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 295",г. Барановичи,Беларусь,,
225410,"ул. Фроленкова, 54",г. Барановичи,Беларусь,,
225417,"ул. Защитная, 10",г. Барановичи,Беларусь,,
225328,"пер. Крайний, 3",г. Барановичи,Беларусь,,
225410,"ул. Фабричная, 7",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 40",г. Барановичи,Беларусь,,
225409,"пер. 3-й Вильчковского, 13",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 19",г. Барановичи,Беларусь,,
225352,с/с Малаховецкий,г. Барановичи,Беларусь,,
225409,"ул. 50 лет ВЛКСМ, 9, корп. А",г. Барановичи,Беларусь,,
225404,"ул. Чапаева, 16",г. Барановичи,Беларусь,,
225409,"ул. Войкова, 25, корп. В",г. Барановичи,Беларусь,,
225409,"ул. Проминского, 48",г. Барановичи,Беларусь,,
225409,"ул. Тельмана, 102-16",г. Барановичи,Беларусь,,
225415,"ул. 50 лет ВЛКСМ, 4/1",г. Барановичи,Беларусь,,
225320,"ул. Войкова, 25/г",г. Барановичи,Беларусь,,
225409,"ул. Чернышевского, 94, пом. 5",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 56",г. Барановичи,Беларусь,,
225406,"ул. Брестская, 224, корп. А",г. Барановичи,Беларусь,,
225416,"ул. Наконечникова, 5",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 1, корп. Д",г. Барановичи,Беларусь,,
225411,"ул. Промышленная, 7",г. Барановичи,Беларусь,,
225409,"б-р Штоккерау, 2А",г. Барановичи,Беларусь,,
225331,"ул. Слонимская, 66",г. Барановичи,Беларусь,,
225411,"ул. Пролетарская, 48",г. Барановичи,Беларусь,,
225417,"ул. Тельмана, 124-11",г. Барановичи,Беларусь,,
225407,"пер. 2-й Столярный, 20, корп. Б",г. Барановичи,Беларусь,,
225320,"ул. Комсомольская, 89",г. Барановичи,Беларусь,,
225409,"ул. Вильямса, 32",г. Барановичи,Беларусь,,
225411,"ул. Минский парк, 10, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 19-203",г. Барановичи,Беларусь,,
225404,"ул. Баранова, 46, пом. 60",г. Барановичи,Беларусь,,
225320,"ул. Коммунистическая, 7-30",г. Барановичи,Беларусь,,
225417,"пер. 2-й Рабочий, 12",г. Барановичи,Беларусь,,
225320,"д. 73, корп. В",г. Барановичи,Беларусь,,
225404,"ул. Тельмана, 175",г. Барановичи,Беларусь,,
225415,"ул. Советская, 150",г. Барановичи,Беларусь,,
225312,"ул. Поленчицкая, 4-1",г. Барановичи,Беларусь,,
225331,"ул. Слонимская, 66",г. Барановичи,Беларусь,,
225409,"ул. Советская, 119/1",г. Барановичи,Беларусь,,
225409,"ул. Куйбышева, 23",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 19-210",г. Барановичи,Беларусь,,
225320,"ул. Димитрова, 15, пом. 68",г. Барановичи,Беларусь,,
225409,"ул. Кирова, 46",г. Барановичи,Беларусь,,
225409,"ул. Гагарина, 19",г. Барановичи,Беларусь,,
225409,"ул. Богдановича, 13",г. Барановичи,Беларусь,,
225409,"ул. Кирова, 142, корп. В, оф. 1",г. Барановичи,Беларусь,,
225404,"ул. Чурилина, 11В-1",г. Барановичи,Беларусь,,
225409,"ул. Царюка, 7, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Фроленкова, 2, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Советская, 59",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 53",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 164",г. Барановичи,Беларусь,,
225320,"Слонимское шоссе, 28",г. Барановичи,Беларусь,,
225410,"ул. Павлова, 56",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 164",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 22",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 91, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Фроленкова, 49, корп. А",г. Барановичи,Беларусь,,
225328,"с/с Городищенский, ул. Едунова, 6",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 79А-4",г. Барановичи,Беларусь,,
225407,"ул. Репина, 49А",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 43",г. Барановичи,Беларусь,,
225356,"ул. 17 Сентября, 44А",г. Барановичи,Беларусь,,
225409,"ул. Ленина, 11-4",г. Барановичи,Беларусь,,
225411,"ул. Промышленная, 7, корп. А",г. Барановичи,Беларусь,,
225320,,г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 87",г. Барановичи,Беларусь,,
225357,"д. 361, корп. Б",г. Барановичи,Беларусь,,
225410,"ул. Кирова, 77, корп. Б",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 81",г. Барановичи,Беларусь,,
225409,"ул. Советская, 84",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 11-15",г. Барановичи,Беларусь,,
225411,"ул. Пролетарская, 52",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 91",г. Барановичи,Беларусь,,
225409,"ул. Чернышевского, 61",г. Барановичи,Беларусь,,
225406,"ул. Пионерская, 53",г. Барановичи,Беларусь,,
225409,"ул. Ленина, 49-21",г. Барановичи,Беларусь,,
225410,"ул. Брестская, 4-71",г. Барановичи,Беларусь,,
225404,"ул. Войкова, 2",г. Барановичи,Беларусь,,
225360,"ул. Несвижская, 41",г. Барановичи,Беларусь,,
225000,"а/г Жемчужный, ул. Грицевца, 13-2",г. Барановичи,Беларусь,,
225410,"ул. Спокойная, 5А",г. Барановичи,Беларусь,,
225379,"ул. Школьная, 5 (2 этаж)",г. Барановичи,Беларусь,,
225417,"ул. Тельмана, 153/3-75",г. Барановичи,Беларусь,,
225409,"ул. Шевченко, 14, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Домашевичская, 8, корп. А",г. Барановичи,Беларусь,,
225409,"ул. 50 лет ВЛКСМ, 6, корп. Б",г. Барановичи,Беларусь,,
225409,"ул. Смоленская, 1",г. Барановичи,Беларусь,,
225331,"ул. 60 лет Октября, 1, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Советская, 59",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 186",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 11 (2 этаж)",г. Барановичи,Беларусь,,
225352,"д. Ястрембель, пер. Кадетский, 2",г. Барановичи,Беларусь,,
225417,"ул. Защитная, 13",г. Барановичи,Беларусь,,
225409,"ул. Мицкевича, 14",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 28",г. Барановичи,Беларусь,,
225331,"ул. Слонимская, 66",г. Барановичи,Беларусь,,
225320,"б-р Штоккерау, 5",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 23",г. Барановичи,Беларусь,,
225410,"ул. Фроленкова, 13",г. Барановичи,Беларусь,,
225410,"ул. Космонавтов, 15-8",г. Барановичи,Беларусь,,
225328,"ул. Едунова, 2",г. Барановичи,Беларусь,,
225413,"Слонимское шоссе, 1",г. Барановичи,Беларусь,,
225402,"ул. Фроленков, 7, корп. Б",г. Барановичи,Беларусь,,
225416,"ул. 50 лет БССР, 25",г. Барановичи,Беларусь,,
225409,"ул. Баранова, 8",г. Барановичи,Беларусь,,
225367,"ул. Шилова, 14",г. Барановичи,Беларусь,,
225417,"ул. Тельмана, 205",г. Барановичи,Беларусь,,
225320,"ул. Гагарина, 19-215",г. Барановичи,Беларусь,,
225409,"ул. Кирова, 68",г. Барановичи,Беларусь,,
225417,"пер. Защитный, 18-33",г. Барановичи,Беларусь,,
225320,"ул. Брестская, 93",г. Барановичи,Беларусь,,
225409,"пер. 6-й Фестивальный, 8",г. Барановичи,Беларусь,,
225316,"ул. Солнечная, 10-8",г. Барановичи,Беларусь,,
225409,"ул. Брестская, 270, корп. В",г. Барановичи,Беларусь,,
225409,"ул. Царюка, 20-13",г. Барановичи,Беларусь,,
225320,"ул. Карбышева, 1",г. Барановичи,Беларусь,,
225401,"ул. Р. Люксембург, 116",г. Барановичи,Беларусь,,
225416,"пр-т Советский, 46",г. Барановичи,Беларусь,,
225351,"ул. Советская, 15",г. Барановичи,Беларусь,,
225409,"ул. Смоленская, 12, корп. А",г. Барановичи,Беларусь,,
225281,"ул. Вильчковского, 123/2",г. Барановичи,Беларусь,,
225410,"ул. Кирова, 68-2",г. Барановичи,Беларусь,,
225341,"ул. Солнечная, 3-1",г. Барановичи,Беларусь,,
225401,"ул. Энтузиастов, 3",г. Барановичи,Беларусь,,
225409,"ул. Калинина, 140",г. Барановичи,Беларусь,,
225320,"пер. Рылеева, 15",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 13",г. Барановичи,Беларусь,,
225320,"ул. Промышленная, 25, корп. А",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 11-3",г. Барановичи,Беларусь,,
225356,"ул. 17 Сентября, 44",г. Барановичи,Беларусь,,
225416,"ул. Наконечникова, 27/1",г. Барановичи,Беларусь,,
225409,"ул. Р. Люксембург, 1",г. Барановичи,Беларусь,,
225410,"ул. Фабричная, 1",г. Барановичи,Беларусь,,
225320,"пер. Чистый, 30",г. Барановичи,Беларусь,,
225320,"ул. Советская, 79",г. Барановичи,Беларусь,,
225409,"ул. Чернышевского, 11-12",г. Барановичи,Беларусь,,
225320,"ул. 50 лет БССР, 65",г. Барановичи,Беларусь,,
225409,"ул. Комсомольская, 55",г. Барановичи,Беларусь,,
225409,"ул. Ленина, 2",г. Барановичи,Беларусь,,
225331,"ул. Барановичская, 14, корп. А",г. Барановичи,Беларусь,,
225339,"ул. Центральная, 49",г. Барановичи,Беларусь,,
225320,"ул. Спокойная, 54",г. Барановичи,Беларусь,,
225367,"ул. Озерная, 14",г. Барановичи,Беларусь,,
225367,"ул. Советская, 35",г. Барановичи,Беларусь,,
225320,"ул. Тельмана, 24",г. Барановичи,Беларусь,,
225407,"ул. Вильчковского, 1Л",г. Барановичи,Беларусь,,
225320,"ул. Грунтовая, 49-9",г. Барановичи,Беларусь,,
225401,"ул. Комсомольская, 17-2",г. Барановичи,Беларусь,,
