"AAY,""Ghost Ranch Strip"",""United States"",""Fazenda Sete de Setembro"",""Brazil""";
"AAZ,""Andriamena"",""Madagascar"",""Lowell Field"",""United States""";
"ABA,""Annai"",""Guyana"",""Aberdeen"",""Zimbabwe""";
"ABB,""Vesthimmerlands Flyveplads"",""Denmark"",""Augusta Regional At Bush Field"",""United States""";
"ABC,""Pattimura, Ambon"",""Indonesia"",""Arctic Bay"",""Canada""";
"ABD,""Fazenda Sete Ilhas"",""Brazil"",""Gmf Ranch"",""United States""";
"ABE,""Azua"",""Dominican Republic"",""Altfeld"",""Germany""";
"ABF,""Aamby Valley"",""India"",""Zarn"",""United States""";
"ABG,""Fazenda Recanto"",""Brazil"",""Megiddo"",""Israel""";
"ABH,""Centro de Lancamento de Alcantara"",""Brazil"",""Agana NAS"",""Guam""";
"ABI,""Addis Ababa Bole International"",""Ethiopia"",""Auca"",""Honduras""";
"ABJ,""Abdanan"",""Iran"",""Anglemont This airport is closed"",""Canada""";
"ABK,""Alvear Aeroparque"",""Argentina"",""02 Ranch"",""United States""";
"ABL,""Atlantic Field Mcolf"",""United States"",""Adamovka"",""Russia""";
"ABM,""Peterson Airstrip"",""United States"",""Abaete"",""Brazil""";
"ABN,""Spencer"",""United States"",""El Nouzha"",""Egypt""";
"ABO,""Jordans"",""United States"",""Krankenhaus"",""Austria""";
"ABP,""Tinak"",""Marshall Islands"",""Aurora State"",""United States""";
"ABQ,""Uraricoera"",""Brazil"",""Aminuis Airstrip"",""Namibia""";
"ABR,""Public Service of Colorado Arvada"",""United States"",""Houari Boumediene"",""Algeria""";
"ABS,""Wershofen/Eifel"",""Germany"",""Cobb County-Mc Collum Field"",""United States""";
"ABT,""Fasel Field"",""United States"",""Aguaytia"",""Peru""";
"ABU,""Fazenda Pequena Holanda"",""Brazil"",""Alcantarilla Air Base"",""Spain""";
"ABV,""Aliwal North"",""South Africa"",""Caraz"",""Peru""";
"ABW,""Bradford Camps Seaplane Base"",""United States"",""Iriri"",""Brazil""";
"ABX,""Aguas Blancas"",""Chile"",""Aktau"",""Kazakhstan""";
"ABY,""Fazenda Itaquere This airport is closed"",""Brazil"",""Arad"",""Israel""";
"ABZ,""American Creek"",""United States"",""Ambalabe"",""Madagascar""";
"ACA,""Apple River This airport is closed"",""Canada"",""Fazenda Sao Sebastiao"",""Brazil""";
"ACB,""Mission Hospitals"",""United States"",""Fagali'i"",""Samoa""";
"ACC,""New Mexico Soaring Ranch"",""United States"",""Praia do Algodao"",""Brazil""";
"ACD,""Scottys Field"",""United States"",""Alice Springs"",""Australia""";
"ACE,""Altamira"",""Brazil"",""Armilla Air Base"",""Spain""";
"ACF,""Anadarko Municipal"",""United States"",""Aeroxingu"",""Brazil""";
"ACG,""Agropecuaria Nova Santana"",""Brazil"",""Butterville"",""United States""";
"ACH,""Aerorural Floramazon"",""Brazil"",""Dyess Air Force Base"",""United States""";
"ACI,""B & V Flying Ranch"",""United States"",""Ankazoabo"",""Madagascar""";
"ACJ,""Etimesgut Air Base"",""Turkey"",""Abilene Municipal"",""United States""";
"ACK,""Palmyra Park This airport is closed"",""United States"",""Angouleme-Brie-Champniers"",""France""";
"ACL,""Security Ford"",""United States"",""Arica"",""Colombia""";
"ACM,""Avranches Le Val St Pere"",""France"",""Bridges Medical Center Hospital"",""United States""";
"ACN,""Abbeville General Hospital"",""United States"",""Algeciras"",""Spain""";
"ACO,""Alvesta Smalanda"",""Sweden"",""St Joseph West Mesa Hospital"",""United States""";
"ACP,""La Playa"",""Chile"",""Auch-Lamothe"",""France""";
"ACQ,""Ansongo"",""Mali"",""Etimesgut Air Base"",""Turkey""";
"ACR,""Afobakka Airstrip"",""Suriname"",""Arona"",""Papua New Guinea""";
"ACS,""Ilha Josefa"",""Brazil"",""Amos Magny"",""Canada""";
"ACT,""Peach Orchard"",""United States"",""Asimba Airstrip"",""Papua New Guinea""";
"ACU,""Santa Fe River Ranch"",""United States"",""Base Principal Celta"",""Colombia""";
"ACV,""Alamogordo White Sands Regional"",""United States"",""Akieni"",""Gabon""";
"ACW,""Log Cabin"",""United States"",""Serafino Ferruzzi"",""Brazil""";
"ACX,""Cuartel Gral. I Division De Ejercito"",""Chile"",""Asheboro Regional"",""United States""";
"ACY,""Douglas Flying Service Private"",""United States"",""Lura"",""Brazil""";
"ACZ,""Agotu Airstrip"",""Papua New Guinea"",""Aioun el Atrouss"",""Mauritania""";
"ADA,""Abadan"",""Iran"",""Florida Hospital-Altamonte"",""United States""";
"ADB,""Akiachak Seaplane Base"",""United States"",""Anduki"",""Brunei""";
"ADC,""Ali Airstrip"",""Papua New Guinea"",""Abbeville"",""United States""";
"ADD,""Arzanah"",""United Arab Emirates"",""Tours Le Louroux"",""France""";
"ADE,""Allstedt"",""Germany"",""Thorson Airfield"",""United States""";
"ADF,""Virginia Highlands"",""United States"",""Aubenas-Ardeche Meridional"",""France""";
"ADG,""Teramiranda"",""United States"",""Angus Downs"",""Australia""";
"ADH,""Damazin"",""Sudan"",""Queen Alia International"",""Jordan""";
"ADI,""Flying B Ranch Airstrip"",""United States"",""Aachen-Merzbruck"",""Germany""";
"ADJ,""Chowning"",""United States"",""Marcos Perez"",""Honduras""";
"ADK,""Angers-Loire"",""France"",""NS"",""Canada""";
"ADL,""Fazenda Itaquere This airport is closed"",""Brazil"",""Apple Valley"",""United States""";
"ADM,""Golden Pond This airport is closed"",""United States"",""Alluitsup Paa"",""Greenland""";
"ADN,""Heligalo"",""Brazil"",""Phillips Army Air Field"",""United States""";
"ADO,""Ivato"",""Madagascar"",""Ackley Municipal"",""United States""";
"ADP,""Aerogalo"",""Brazil"",""Ulawa"",""Solomon Islands""";
"ADQ,""Akiachak Seaplane Base"",""United States"",""Akita"",""Japan""";
"ADR,""Aldeia Nacepoti"",""Brazil"",""Andersen Air Force Base"",""Guam""";
"ADS,""Fazenda Itau"",""Brazil"",""Flying H Ranch This airport is closed"",""United States""";
"ADT,""Aguanish Seaplane Base"",""Canada"",""Lyon Brindas"",""France""";
"ADU,""Augusta Seaplane Base"",""United States"",""Alto Molocue"",""Mozambique""";
"ADV,""Apataki"",""French Polynesia"",""Arkaylyk South"",""Kazakhstan""";
"ADW,""Hospital Amadora"",""Portugal"",""Maju"",""Brazil""";
"ADX,""La Gomera"",""Spain"",""Antigonish (St. Martha's Regional Hospital)"",""Canada""";
"ADY,""Amboise Dierre"",""France"",""Clover Lake Farms"",""United States""";
"ADZ,""Amsele Air Base This airport is closed"",""Sweden"",""Ardmore Downtown Executive"",""United States""";
"AEA,""Avoca"",""Australia"",""Apex Healthplex"",""United States""";
"AEB,""Lake Ell Field"",""United States"",""Ai-Ais"",""Namibia""";
"AEC,""Asosa"",""Ethiopia"",""Donald Alfred Gade"",""United States""";
"AED,""Amboin"",""Papua New Guinea"",""Dale Hollow Regional (Petro Field)"",""United States""";
"AEE,""Belley - Peyrieu"",""France"",""American Falls"",""United States""";
"AEF,""Aguaclara"",""Colombia"",""Avesta"",""Sweden""";
"AEG,""Andizhan"",""Uzbekistan"",""Apolo"",""Bolivia""";
"AEH,""Dell Children'S Medical Center"",""United States"",""Fazenda Fittipaldi Citrus"",""Brazil""";
"AEI,""Uaicas"",""Brazil"",""Dorothy Roeber Memorial"",""United States""";
"AEJ,""Adelaide This airport is closed"",""South Africa"",""Barbaro North"",""United States""";
"AEK,""Albert-Bray"",""France"",""Ayni"",""Tajikistan""";
"AEL,""Fazenda Mequens"",""Brazil"",""Arthur"",""United States""";
"AEM,""Andes"",""Colombia"",""Ibm King St"",""United States""";
"AEN,""Arou Airstrip"",""Papua New Guinea"",""St Luke's Mrmc"",""United States""";
"AEO,""St Anthony's Hospital"",""United States"",""Althorpe Lighthouse Airstrip"",""Australia""";
"AEP,""Tadji"",""Papua New Guinea"",""Everaldo Moras Barreto"",""Brazil""";
"AEQ,""Parker"",""United States"",""Andravida Air Base"",""Greece""";
"AER,""Santa Maria"",""Brazil"",""Rite Aid Distribution Center"",""United States""";
"AES,""Andersen Air Force Base"",""Guam"",""Fazenda Fittipaldi Citrus"",""Brazil""";
"AET,""George Downer"",""United States"",""Oamtc"",""Austria""";
"AEU,""Allahabad"",""India"",""Aurora Regional Medical Center"",""United States""";
"AEV,""King Fahd International"",""Saudi Arabia"",""Altai"",""Mongolia""";
"AEW,""Campbell Field"",""United States"",""Rustaq"",""Oman""";
"AEX,""Easter Field"",""United States"",""Tabajara"",""Brazil""";
"AEY,""Sce Energy Control Center"",""United States"",""Aweil"",""South Sudan""";
"AEZ,""Alfragide heliport"",""Portugal"",""Wolford's"",""United States""";
"AFA,""J&J Crop Dusters Inc"",""United States"",""Olhos D`agua"",""Brazil""";
"AFB,""Almaty"",""Kazakhstan"",""Akiachak"",""United States""";
"AFC,""Anthony Hospital"",""United States"",""Fazenda Sao Jose do Cangalha"",""Brazil""";
"AFD,""Attendorn-Finnentrop"",""Germany"",""Agua Dulce Airpark"",""United States""";
"AFE,""Fazenda Furna Azul"",""Brazil"",""Albia Municipal"",""United States""";
"AFF,""Chandler Field"",""United States"",""Arkalyk North"",""Kazakhstan""";
"AFG,""Virginia Highlands"",""United States"",""Praia do Algodao"",""Brazil""";
"AFH,""Alabat Island"",""Philippines"",""Vu Medisch Centrum"",""Netherlands""";
"AFI,""Projeto Iriri"",""Brazil"",""Almaty"",""Kazakhstan""";
"AFJ,""Furst Ranch"",""United States"",""Fazenda Esperanca"",""Brazil""";
"AFK,""Pigeon"",""United States"",""Aginskoye"",""Russia""";
"AFL,""Fazenda Santa Rosa"",""Brazil"",""Golden Pegasus Ranch"",""United States""";
"AFM,""Zanadu"",""United States"",""Alavus"",""Finland""";
"AFN,""Etimesgut Air Base"",""Turkey"",""Allen"",""Argentina""";
"AFO,""Fazenda Fazendinha"",""Brazil"",""Calhoun Sheriff's"",""United States""";
"AFP,""Avoca"",""Australia"",""Montelimar - Ancone"",""France""";
"AFQ,""Rena Airfield Landsorkje"",""Norway"",""Arcadia Municipal"",""United States""";
"AFR,""Amarras"",""Brazil"",""Flyin Tiger"",""United States""";
"AFS,""Avoriaz"",""France"",""Abu Dhabi International"",""United Arab Emirates""";
"AFT,""Mid-Valley Dusters Inc"",""United States"",""Fazenda Vera Cruz"",""Brazil""";
"AFU,""Flying W Ranch"",""United States"",""Anholt"",""Denmark""";
"AFV,""Aalborg"",""Denmark"",""Fazenda Ipanema"",""Brazil""";
"AFW,""Adam"",""Oman"",""Harrah's Landing Seaplane Base"",""United States""";
"AFX,""Stepnoye West"",""Kazakhstan"",""Double Eagle II"",""United States""";
"AFY,""North Net Training Authority"",""United States"",""Aribinda"",""Burkina Faso""";
"AFZ,""Marcos A. Gelabert International"",""Panama"",""Alameda Naval Air Station This airport is closed"",""United States""";
"AGA,""Ashern"",""Canada"",""Agotu Airstrip"",""Papua New Guinea""";
"AGB,""Casa Grande"",""Peru"",""Albury Base Hospital Helipad"",""Australia""";
"AGC,""Altdorf-Hagenhausen Airfield"",""Germany"",""St Olaf Hospital"",""United States""";
"AGD,""Stub's Field"",""United States"",""RAF Banff This airport is closed"",""United Kingdom""";
"AGE,""Erb Acres"",""United States"",""Amoneburg Airfield"",""Germany""";
"AGF,""Adazi Airfield"",""Latvia"",""Runner Landing Area"",""United States""";
"AGG,""Ashgabat Bezmein"",""Turkmenistan"",""Ummc"",""United States""";
"AGH,""Golden Pegasus Ranch"",""United States"",""Arzanah"",""United Arab Emirates""";
"AGI,""Pulkrabek Private Landing Field"",""United States"",""Albury"",""Australia""";
"AGJ,""Apowo Airstrip"",""Indonesia"",""Sills Air Park"",""United States""";
"AGK,""Iguassu"",""Brazil"",""Market World"",""United States""";
"AGL,""Whalen"",""United States"",""Biju"",""Brazil""";
"AGM,""Fazenda Boa Vista"",""Brazil"",""Golden Pond This airport is closed"",""United States""";
"AGN,""Agrorural Sol Nascente"",""Brazil"",""Amal V12"",""Libya""";
"AGO,""Shadduck Seaplane Base"",""United States"",""Fazenda Sperafico"",""Brazil""";
"AGP,""2 X 4 Ranch"",""United States"",""Talje"",""Sweden""";
"AGQ,""Armstrong"",""Canada"",""Arroket"",""Kenya""";
"AGR,""El Porvenir"",""Colombia"",""Ambaluwa Airstrip"",""Papua New Guinea""";
"AGS,""Greenwoods Airfield"",""United States"",""Anglesey"",""United Kingdom""";
"AGT,""Aguni"",""Japan"",""Alliston (Stevenson Memorial Hospital)"",""Canada""";
"AGU,""Lakhta Naval Air Base"",""Russia"",""Lakeway Airpark"",""United States""";
"AGV,""Nardo"",""United States"",""Albacete-Los Llanos"",""Spain""";
"AGW,""Aralsk"",""Kazakhstan"",""Afranio"",""Brazil""";
"AGX,""Agana NAS"",""Guam"",""Ankazoabo"",""Madagascar""";
"AGY,""Creekside"",""United States"",""Fazenda Tres Marias"",""Brazil""";
"AGZ,""Addison Municipal"",""United States"",""Amubri"",""Costa Rica""";
"AHA,""Rutter"",""United States"",""Arrecifes Aeroclub"",""Argentina""";
"AHB,""El Cedrito"",""Colombia"",""Furst Ranch"",""United States""";
"AHC,""Jihad Dehaini"",""Brazil"",""Arviat"",""Canada""";
"AHD,""Campbell Lake Seaplane Base"",""United States"",""Alpha"",""Australia""";
"AHE,""Stepnoye East"",""Kazakhstan"",""Abbeville"",""United States""";
"AHF,""Albany Municipal"",""United States"",""Armavir Air Base"",""Russia""";
"AHG,""Alamicamba"",""Nicaragua"",""Ascona This airport is closed"",""Switzerland""";
"AHH,""LA State Police Troop E"",""United States"",""Angus Downs"",""Australia""";
"AHI,""Agana NAS"",""Guam"",""Old Orchard Road"",""United States""";
"AHJ,""Montelimar - Ancone"",""France"",""Needham's"",""United States""";
"AHK,""Alama Airstrip"",""Indonesia"",""Fazenda Frances"",""Brazil""";
"AHL,""Fazenda Sao Roque do Vale do Rio Negro"",""Brazil"",""Midland"",""United States""";
"AHM,""Sce Energy Control Center"",""United States"",""Aideralma Airstrip"",""Indonesia""";
"AHN,""Arviat"",""Canada"",""Aviosuperficie Acqui Terme"",""Italy""";
"AHO,""Link Field"",""United States"",""Aktobe"",""Kazakhstan""";
"AHP,""El Troncal"",""Colombia"",""USCGS"",""United States""";
"AHQ,""Amahai"",""Indonesia"",""Mercy Hospital Ardmore"",""United States""";
"AHR,""Arroyito/Arcor"",""Argentina"",""Auberry Hydro Service Center"",""United States""";
"AHS,""Fazenda Jaragua"",""Brazil"",""Athens Municipal"",""United States""";
"AHT,""Abengourou"",""Cote d'Ivoire"",""Toddsbury Farm"",""United States""";
"AHU,""Alula"",""Somalia"",""Atwood-Rawlins County City"",""United States""";
"AHV,""Abu Dhabi Northeast"",""United Arab Emirates"",""Auca"",""Honduras""";
"AHW,""Sun River Ranch"",""United States"",""Rio Exploradores"",""Chile""";
"AHX,""Campo di Volo Assoro"",""Italy"",""Fazenda Pequena Holanda"",""Brazil""";
"AHY,""Estancia La Laurita"",""Argentina"",""Guardian Industries"",""United States""";
"AHZ,""Sword's"",""United States"",""Angra dos Reis"",""Brazil""";
"AIA,""Altisurface d'Aleu"",""France"",""Happy Bottom"",""United States""";
"AIB,""Fazenda Fittipaldi Citrus"",""Brazil"",""Rambos Field"",""United States""";
"AIC,""Ampanihy"",""Madagascar"",""Wilcox Field"",""United States""";
"AID,""Collpa"",""Bolivia"",""Alama Airstrip"",""Indonesia""";
"AIE,""Moore Private"",""United States"",""A?larer Hutte Airfield"",""Germany""";
"AIF,""Pitnyak"",""Turkmenistan"",""J-Z"",""United States""";
"AIG,""Estancia Itapororo"",""Brazil"",""Angel Fire"",""United States""";
"AIH,""Astypalaia"",""Greece"",""Apalachicola Regional"",""United States""";
"AII,""Aktau"",""Kazakhstan"",""Plum Valley"",""United States""";
"AIJ,""Arlington Marriott Hotel"",""United States"",""Arbra"",""Sweden""";
"AIK,""Fazenda Karl Hermann Isenberg"",""Brazil"",""Erb Acres"",""United States""";
"AIL,""Argyle Downs"",""Australia"",""Rick Husband Amarillo International"",""United States""";
"AIM,""Mid-Valley Dusters Inc"",""United States"",""Agropecuaria Ferreira Penco Ltda"",""Brazil""";
"AIN,""Coleman Cattle Company Nr 2"",""United States"",""Akhtubinsk Air Base"",""Russia""";
"AIO,""Andreas Airfield"",""Isle of Man"",""California Pines"",""United States""";
"AIP,""Albury Base Hospital Helipad"",""Australia"",""Aliwal North"",""South Africa""";
"AIQ,""Alvear Aeroparque"",""Argentina"",""MacDill Air Force Base Auxiliary Field"",""United States""";
"AIR,""Aldeia Nacepoti"",""Brazil"",""Aur Island"",""Marshall Islands""";
"AIS,""Finney's Airpark"",""United States"",""Ajdovscina"",""Slovenia""";
"AIT,""Cherokee Seaplane Base"",""United States"",""Tocca do Mar-Kao"",""Brazil""";
"AIU,""Augsburg"",""Germany"",""Andriamena"",""Madagascar""";
"AIV,""Etimesgut Air Base"",""Turkey"",""Moore Private"",""United States""";
"AIW,""Albany International"",""United States"",""Allerod This airport is closed"",""Denmark""";
"AIX,""Projeto Iriri"",""Brazil"",""Albany"",""Australia""";
"AIY,""Mariaangelica"",""Colombia"",""Calhoun Sheriff's"",""United States""";
"AIZ,""Stanly County"",""United States"",""Arbra"",""Sweden""";
"AJA,""Iriri"",""Brazil"",""Aua Island"",""Papua New Guinea""";
"AJB,""Tri County"",""United States"",""Arlon-Sterpenich ULM"",""Belgium""";
"AJC,""La Concepcion"",""Colombia"",""Holiday Ranch"",""United States""";
"AJD,""Anniston AHP (Anniston Army Depot)"",""United States"",""El Porvenir"",""Colombia""";
"AJE,""Anderstorp"",""Sweden"",""Fazenda Pedra Branca"",""Brazil""";
"AJF,""Albury Base Hospital Helipad"",""Australia"",""Apple River This airport is closed"",""Canada""";
"AJG,""Souther Field"",""United States"",""Abu Simbel"",""Egypt""";
"AJH,""Al Wajh Domestic"",""Saudi Arabia"",""Niue International"",""Niue""";
"AJI,""Ambaluwa Airstrip"",""Papua New Guinea"",""Aguaytia"",""Peru""";
"AJJ,""Saint Joseph's Hospital"",""United States"",""Ashgabat"",""Turkmenistan""";
"AJK,""Angoram"",""Papua New Guinea"",""Aldergrove (Hicks) This airport is closed"",""Canada""";
"AJL,""Station Thirty"",""United States"",""Dhokimion"",""Greece""";
"AJM,""Archer Emergency"",""United States"",""Altamira"",""Nicaragua""";
"AJN,""Aggeneys"",""South Africa"",""Blue Sky Airfield"",""United States""";
"AJO,""Fazenda Santa Elisa"",""Brazil"",""J-D Ranch"",""United States""";
"AJP,""Andalgala"",""Argentina"",""Albia Municipal"",""United States""";
"AJQ,""Avranches"",""France"",""Fazenda Itau"",""Brazil""";
"AJR,""Adak"",""United States"",""Algeciras"",""Spain""";
"AJS,""Hamburg This airport is closed"",""Canada"",""Fazenda Ponte Quinha"",""Brazil""";
"AJT,""Arborg"",""Canada"",""Estancia das Cascatas"",""Brazil""";
"AJU,""Aishalton"",""Guyana"",""Adamovka"",""Russia""";
"AJV,""La Cura Malal"",""Argentina"",""Gebauer"",""United States""";
"AJW,""Aldeia Kubenkroke"",""Brazil"",""Abilene Municipal"",""United States""";
"AJX,""Juergensen Airpark and Maritime Facility"",""United States"",""Alto Parnaiba"",""Brazil""";
"AJY,""Gmf Ranch"",""United States"",""Araslaya"",""Honduras""";
"AJZ,""Turner County"",""United States"",""Fazenda Taquaral"",""Brazil""";
"AKA,""Amook Bay Seaplane Base"",""United States"",""Fazenda Itaquere This airport is closed"",""Brazil""";
"AKB,""Auburn Community Hospital"",""United States"",""Al-Bayda"",""Yemen""";
"AKC,""Amoco"",""United States"",""Serafino Ferruzzi"",""Brazil""";
"AKD,""Ackley Municipal"",""United States"",""Arraias"",""Brazil""";
"AKE,""Ted Stevens Anchorage International"",""United States"",""RAF Abingdon"",""United Kingdom""";
"AKF,""Fazenda Itau"",""Brazil"",""Abbeville"",""France""";
"AKG,""Dryden"",""United States"",""Naval"",""Chile""";
"AKH,""Aalen-Heidenheim/Elchingen"",""Germany"",""Northside Hospital"",""United States""";
"AKI,""Virgil"",""United States"",""Althorpe Lighthouse Airstrip"",""Australia""";
"AKJ,""Arraias"",""Brazil"",""Haliwen"",""Indonesia""";
"AKK,""C 426"",""South Korea"",""Ine"",""Marshall Islands""";
"AKL,""Arichat (St. Anne Ladies Auxiliary Hospital)"",""Canada"",""Araguari"",""Brazil""";
"AKM,""Rena Airfield Landsorkje"",""Norway"",""Performance Helicopters"",""United States""";
"AKN,""Pajonales"",""Colombia"",""Bailes"",""United States""";
"AKO,""Farington Field"",""United States"",""El Nouzha"",""Egypt""";
"AKP,""Egleston Hospital"",""United States"",""Kirovsk-Apatity"",""Russia""";
"AKQ,""The Eagle`s Nest"",""Brazil"",""Lost Dutchman"",""United States""";
"AKR,""Ewer"",""Indonesia"",""Cherif Al Idrissi"",""Morocco""";
"AKS,""Ambatolhy"",""Madagascar"",""Alroy Downs"",""Australia""";
"AKT,""Azua"",""Dominican Republic"",""Station Thirty"",""United States""";
"AKU,""Fazenda Mudanca"",""Brazil"",""Stockdale Landing Strip"",""South Africa""";
"AKV,""West Cliff Colliery Helipad"",""Australia"",""Wolford's"",""United States""";
"AKW,""Health One Mercy Hospital"",""United States"",""Alferez FAP Alfredo Vladimir Sara Bauer"",""Peru""";
"AKX,""Moramba"",""Madagascar"",""Aurangabad"",""India""";
"AKY,""Atherton"",""Australia"",""Elk Park Ranch"",""United States""";
"AKZ,""Agdenes Airfield Breivika"",""Norway"",""Aaron's Field"",""United States""";
"ALA,""Furst Ranch"",""United States"",""Morzine Avoriaz"",""France""";
"ALB,""Stone"",""United States"",""Prosomaca"",""Venezuela""";
"ALC,""Aleknagik Mission Lodge"",""United States"",""Acensa"",""Honduras""";
"ALD,""Alexandra"",""New Zealand"",""Arrecifes Aeroclub"",""Argentina""";
"ALE,""Agnes Water"",""Australia"",""Chukkar Farm Ultralightport"",""United States""";
"ALF,""Abbottabad"",""Pakistan"",""Santiago Perez"",""Colombia""";
"ALG,""Agotu Airstrip"",""Papua New Guinea"",""Astana International"",""Kazakhstan""";
"ALH,""Azacualpa"",""Honduras"",""Acme This airport is closed"",""Canada""";
"ALI,""Amargosa"",""Brazil"",""Al Marj"",""Libya""";
"ALJ,""Avare-Arandu"",""Brazil"",""Heliport"",""Sweden""";
"ALK,""Aldam"",""South Africa"",""Carnot Field"",""United States""";
"ALL,""Karyz"",""Uzbekistan"",""Fazenda Pequena Holanda"",""Brazil""";
"ALM,""Ashtabula County Medical Center Ctr"",""United States"",""Atar International"",""Mauritania""";
"ALN,""Auerbach"",""Germany"",""Harrah's Landing Seaplane Base"",""United States""";
"ALO,""Vitoria/Foronda"",""Spain"",""Sultan Abdul Halim"",""Malaysia""";
"ALP,""Fazenda Fittipaldi Citrus"",""Brazil"",""Avranches Le Val St Pere"",""France""";
"ALQ,""San Alfonso"",""Chile"",""Cobb General Hospital"",""United States""";
"ALR,""Alma"",""Canada"",""Hacaritama"",""Colombia""";
"ALS,""Lemoyne"",""United States"",""Congo Town"",""Bahamas""";
"ALT,""Zimmerle"",""United States"",""Alfenas"",""Brazil""";
"ALU,""Aris Landrig Strip"",""Namibia"",""Hyran Garcete"",""Brazil""";
"ALV,""Araguari"",""Brazil"",""Arcade Tri County"",""United States""";
"ALW,""Avare-Arandu"",""Brazil"",""Sheraton Inn"",""United States""";
"ALX,""Ales-Deaux"",""France"",""Angel Fire"",""United States""";
"ALY,""El Obeid"",""Sudan"",""St Luke's Mrmc"",""United States""";
"ALZ,""Bowman Field"",""United States"",""Aksaray"",""Turkey""";
"AMA,""Fazenda Sao Paulo"",""Brazil"",""Auckland International"",""New Zealand""";
"AMB,""Ayers Rock Connellan"",""Australia"",""Jamaica"",""Colombia""";
"AMC,""Deer Creek Farm"",""United States"",""Tabajara"",""Brazil""";
"AMD,""Vila Velha"",""Brazil"",""Block Ranch"",""United States""";
"AME,""Autlan"",""Mexico"",""Silverwood This airport is closed"",""United States""";
"AMF,""Anholt"",""Denmark"",""Peachtree City Falcon Field"",""United States""";
"AMG,""Cooper Flying Service"",""United States"",""Abau This airport is closed"",""Papua New Guinea""";
"AMH,""Coleman Cattle Company Nr 1"",""United States"",""Angelholm-Helsingborg"",""Sweden""";
"AMI,""Al Abdaliyah Highway Strip"",""Kuwait"",""Fazenda Cristalino"",""Brazil""";
"AMJ,""Baixo Mucajai"",""Brazil"",""Alcantarilla Air Base"",""Spain""";
"AMK,""Fazenda Vale Eldorado"",""Brazil"",""Wexford Landing"",""United States""";
"AML,""Tom Dye"",""United States"",""Buritizal Agropastoril Ltda"",""Brazil""";
"AMM,""Couvillion"",""United States"",""Heliport"",""Sweden""";
"AMN,""Buritizal Agropastoril Ltda"",""Brazil"",""Sun River Ranch"",""United States""";
"AMO,""Meigs Mine 2"",""United States"",""Deelen Air Base"",""Netherlands""";
"AMP,""Fazenda Manchete"",""Brazil"",""Armidale"",""Australia""";
"AMQ,""El Eden"",""Colombia"",""?ra Airfield"",""Norway""";
"AMR,""Spasskoye/Akbash This airport is closed"",""Kyrgyzstan"",""Silvio Pettirossi International"",""Paraguay""";
"AMS,""Alto Ipare"",""Venezuela"",""Burk Personal Use"",""United States""";
"AMT,""Arapahoe Municipal"",""United States"",""Fazenda Roberta"",""Brazil""";
"AMU,""Red's Field"",""United States"",""Ahuas"",""Honduras""";
"AMV,""Still Meadows Helistop"",""United States"",""Marutea"",""French Polynesia""";
"AMW,""Sampley's"",""United States"",""Nova Vida"",""Brazil""";
"AMX,""Aleg"",""Mauritania"",""Goddard Ranch"",""United States""";
"AMY,""Amoneburg Airfield"",""Germany"",""Audubon County"",""United States""";
"AMZ,""Fulton County Brown Field"",""United States"",""Alcoolvare"",""Brazil""";
"ANA,""Alama Airstrip"",""Indonesia"",""Pay Jay Nr 1"",""United States""";
"ANB,""Carlstrom Field"",""United States"",""Rancho Jamastran"",""Honduras""";
